BPM Serial No.	16elec																				
BPM Size	110																				
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																				
Meas. Start Time	2016/10/1416:45																				
Meas. Finish Time	2016/10/1417:00																				
Linear Scale Origin X(mm)	-102.6																				
Linear Scale Origin Y(mm)	110.258																				
note																					
																					
																					
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
R(beam)[mm]	20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	20.001	0.002	-19.999
Y(beam)[mm]	-40	-40	-40	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.997	39.997
S32-5.1MHz(dB)	-28.09627054	-31.07292553	-34.83914237	-20.42660658	-24.25081998	-28.08393838	-32.13933899	-36.91359906	-18.20624919	-22.92034518	-27.08119269	-31.28281657	-36.02289586	-20.41286147	-24.23479658	-28.06669761	-32.12562558	-36.86444081	-28.07341327	-31.04760884	-34.82904325
S42-5.1MHz(dB)	-35.09369215	-31.30691903	-28.310631	-37.1800907	-32.3942593	-28.33055887	-24.49837133	-20.67527042	-36.31583576	-31.54896151	-27.33798124	-23.17627927	-18.47798723	-37.18542936	-32.38910226	-28.3230726	-24.49048126	-20.64472717	-35.08531434	-31.29495783	-28.30871796
S12-5.1MHz(dB)	-37.43885313	-36.55218799	-37.40530489	-35.36765927	-32.65236012	-31.79298227	-32.61925271	-35.29520929	-31.58398184	-28.58422837	-27.57615962	-28.54007645	-31.49197978	-28.60349798	-24.75190653	-23.41269068	-24.7048604	-28.47643875	-20.93845447	-18.70635628	-20.87281638
S52-5.1MHz(dB)	-20.6483199	-18.44077454	-20.63262524	-28.31057002	-24.47274833	-23.14855624	-24.45612044	-28.26924772	-31.29662819	-28.30206708	-27.30433124	-28.27572548	-31.23919354	-35.07970216	-32.3638835	-31.50991934	-32.34302438	-34.99577908	-37.15140543	-36.26953337	-37.12693206
S22-5.1MHz(dB)	-22.58570414	-22.59077754	-22.58986977	-22.58732413	-22.59991948	-22.60230792	-22.6022941	-22.5948692	-22.59869266	-22.60727053	-22.60519264	-22.60772221	-22.60083305	-22.60284092	-22.61131219	-22.61446283	-22.61168724	-22.59788628	-22.60385263	-22.60791499	-22.60314928
S12-S52	-0.079378276	-0.104790655	-0.079494154	-0.021366619	-0.036451996	-0.043869329	-0.036477509	-0.021407022	-0.000886354	-0.00122898	-0.001328881	-0.001156081	-0.000786457	0.019518199	0.033775215	0.040932707	0.034031559	0.01989439	0.075877562	0.100695225	0.07651926
S12+S52	0.106237122	0.134536109	0.106456939	0.055458191	0.083054794	0.095318796	0.083258278	0.055784145	0.053588815	0.075671073	0.08493191	0.07597754	0.054050117	0.054758928	0.081951778	0.094086472	0.082323957	0.055477266	0.103640136	0.131424572	0.104360168
(S12-S52)/(S12+S52)	-0.747180223	-0.778903568	-0.746725902	-0.385274354	-0.438890933	-0.460237965	-0.438124708	-0.383747425	-0.016539897	-0.016241081	-0.015646422	-0.015216091	-0.014550519	0.356438657	0.412135225	0.435054119	0.413385845	0.358604376	0.732125268	0.766182638	0.733222854
S32-S42	0.021779902	0.000742859	-0.020296946	0.081371654	0.037295603	0.001103741	-0.034858262	-0.078253597	0.10765541	0.044989103	0.001289133	-0.042091361	-0.103344599	0.081530936	0.037394535	0.001149034	-0.034873348	-0.078498538	0.021866671	0.000786949	-0.020284332
S32+S42	0.056963916	0.055153525	0.056527325	0.109042693	0.085303981	0.077751957	0.084296507	0.106786768	0.138221381	0.097904483	0.087216387	0.096653221	0.134959018	0.109184973	0.085431425	0.077863341	0.084389708	0.107193652	0.057084638	0.055272595	0.056556861
(S32-S42)/(S32+S42)	0.382345586	0.013468934	-0.359064326	0.746236653	0.437208238	0.014195663	-0.413519649	-0.73280237	0.778862203	0.459520358	0.014780861	-0.435488445	-0.765748008	0.746723056	0.437714049	0.014757059	-0.413241713	-0.732305845	0.383057015	0.01423759	-0.358653783
Net Ana Temperature[℃]	24.01647624	23.9776214	23.92565048	23.83773046	23.77480135	23.74486367	23.69762399	23.66625552	23.5418281	23.50659569	23.4676993	23.44280187	23.43410283	23.31350299	23.2832511	23.25573877	23.25101272	23.24054531	23.3162737	23.30707349	23.33260971
BPM Temperature[℃]	21.64591015	21.58808102	21.51256816	21.35388211	21.28995066	21.23066736	21.17239678	21.12204622	21.02910932	20.97813555	20.94346923	20.93012205	20.91851467	20.85717995	20.85346663	20.87208517	20.888886	20.91516489	20.99254739	21.0478577	21.09529992
