BPM Serial No.	16elec																					
BPM Size	110																					
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																					
Meas. Start Time	2016/10/1416:45																					
Meas. Finish Time	2016/10/1417:00																					
Linear Scale Origin X(mm)	-102.6																					
Linear Scale Origin Y(mm)	110.258																					
note																						
																						
																						
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Linear Scale X (mm)		-122.601	-102.602	-82.601	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.599	-142.604	-122.604	-102.602	-82.601	-62.599	-122.601	-102.602	-82.601
Linear Scale Y (mm)		70.258	70.258	70.258	90.255	90.255	90.255	90.255	90.255	110.255	110.255	110.255	110.255	110.255	130.254	130.254	130.254	130.254	130.254	150.254	150.255	150.255
R(beam)[mm]		20.001	0.002	-19.999	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	40.004	20.004	0.002	-19.999	-40.001	20.001	0.002	-19.999
Y(beam)[mm]		-40	-40	-40	-20.003	-20.003	-20.003	-20.003	-20.003	-0.003	-0.003	-0.003	-0.003	-0.003	19.996	19.996	19.996	19.996	19.996	39.996	39.997	39.997
Net Ana Temperature[℃]		24.01647624	23.9776214	23.92565048	23.83773046	23.77480135	23.74486367	23.69762399	23.66625552	23.5418281	23.50659569	23.4676993	23.44280187	23.43410283	23.31350299	23.2832511	23.25573877	23.25101272	23.24054531	23.3162737	23.30707349	23.33260971
BPM Temperature[℃]		21.64591015	21.58808102	21.51256816	21.35388211	21.28995066	21.23066736	21.17239678	21.12204622	21.02910932	20.97813555	20.94346923	20.93012205	20.91851467	20.85717995	20.85346663	20.87208517	20.888886	20.91516489	20.99254739	21.0478577	21.09529992
Frequency (Hz) / Data (dB)	850000	-43.00705427	-46.04124832	-49.82005778	-35.33363167	-39.19657555	-43.04278385	-47.14433293	-51.88015187	-33.16280591	-37.87568095	-41.99964695	-46.27030186	-51.03693502	-35.34390451	-39.18584265	-43.03230752	-47.11860762	-51.79808973	-43.00233164	-46.00518529	-49.81094076
	1700000	-37.19637871	-40.18685103	-43.96151159	-29.54163765	-33.38669246	-37.22211	-41.28020908	-46.03993881	-27.34739401	-32.06201729	-36.2034926	-40.40709449	-45.13600002	-29.54402651	-33.37230322	-37.20262939	-41.25476605	-45.98187691	-37.19069633	-40.1702449	-43.94323111
	2550000	-33.8388812	-36.82023856	-40.59482913	-26.17826894	-30.01253975	-33.84996555	-37.89737952	-42.65560237	-23.97363836	-28.6906794	-32.83931162	-37.04280899	-41.75717648	-26.17422592	-30.0012689	-33.83297122	-37.88056665	-42.60423299	-33.82617844	-36.80480745	-40.56881143
	3400000	-31.45784589	-34.44231284	-38.20126628	-23.79577691	-27.62735535	-31.45649423	-35.51312968	-40.26761248	-21.58421771	-26.30151917	-30.45431862	-34.65652035	-39.38529813	-23.78603213	-27.61271811	-31.4415368	-35.4925981	-40.23326695	-31.43995246	-34.41496596	-38.18915448
	4250000	-29.6051647	-32.5856564	-36.35098735	-21.9421937	-25.7710881	-29.6031493	-33.65788863	-38.41966913	-19.72548826	-24.4415637	-28.59800604	-32.7973798	-37.53928501	-21.93106735	-25.75379823	-29.58490943	-33.63941348	-38.36993645	-29.58435732	-32.55890102	-36.33256798
	5100000	-28.09627054	-31.07292553	-34.83914237	-20.42660658	-24.25081998	-28.08393838	-32.13933899	-36.91359906	-18.20624919	-22.92034518	-27.08119269	-31.28281657	-36.02289586	-20.41286147	-24.23479658	-28.06669761	-32.12562558	-36.86444081	-28.07341327	-31.04760884	-34.82904325
	5950000	-26.80975514	-29.78584617	-33.55646663	-19.13811229	-22.96017506	-26.79320969	-30.85132281	-35.62914498	-16.91338246	-21.62735883	-25.78911034	-29.98965501	-34.73365989	-19.12262141	-22.94252092	-26.77324826	-30.83473206	-35.58941425	-26.78476115	-29.76090153	-33.53935953
	6800000	-25.68352152	-28.67094035	-32.44259002	-18.02180769	-21.84216263	-25.67369159	-29.73384081	-34.51521739	-15.79464864	-20.50889532	-24.67034687	-28.87219111	-33.62166367	-18.00470083	-21.81644382	-25.65433245	-29.70055434	-34.47355084	-25.66889637	-28.64502447	-32.42365375
	7650000	-24.68891561	-27.68208823	-31.45880922	-17.03863319	-20.84763572	-24.6802081	-28.74283573	-33.50594983	-14.79988845	-19.50903114	-23.67893858	-27.86280463	-32.62804253	-17.01224623	-20.83702409	-24.66322761	-28.72278949	-33.48302855	-24.67611734	-27.6525841	-31.42456189
	8500000	-23.78364697	-26.76640014	-30.54112701	-16.11815492	-19.93730238	-23.77175103	-27.8320884	-32.60326891	-13.88757474	-18.60266675	-22.77288137	-26.9671838	-31.71748883	-16.09685666	-19.92022444	-23.75353964	-27.80697437	-32.5721388	-23.76180816	-26.7372919	-30.5135485
	9350000	-22.93129751	-25.91332666	-29.68440491	-15.26058372	-19.08547169	-22.9198787	-26.97920738	-31.74605002	-13.0299318	-17.75183178	-21.92443131	-26.11757399	-30.86272199	-15.23913643	-19.06619473	-22.90130084	-26.95995325	-31.71938646	-22.90683437	-25.88277529	-29.66100115
	10200000	-22.12449529	-25.10717511	-28.87689513	-14.45123817	-18.28192623	-22.11865542	-26.17781721	-30.94066	-12.22196295	-16.95093327	-21.12545733	-25.31917055	-30.05780274	-14.42861163	-18.26400539	-22.10247155	-26.15869958	-30.91388167	-22.09837124	-25.07768579	-28.85293701
	11050000	-21.36109762	-24.34509279	-28.11355702	-13.6850813	-17.52346991	-21.36242556	-25.42018279	-30.17911501	-11.45839238	-16.19512845	-20.37253806	-24.56583381	-29.29487226	-13.66329876	-17.50601235	-21.34553375	-25.40263002	-30.14988474	-21.33450042	-24.31720076	-28.09085491
	11900000	-20.64041054	-23.62731737	-27.39480647	-12.96219108	-16.80930796	-20.65134076	-24.70772451	-29.46034282	-10.73716886	-15.48234594	-19.66297429	-23.85349802	-28.58151074	-12.94047566	-16.79006819	-20.6344982	-24.69003197	-29.43282009	-20.61272754	-23.59781289	-27.36844629
	12750000	-19.95997016	-22.95025236	-26.71389	-12.28051126	-16.13584437	-19.98019622	-24.03499031	-28.78091296	-10.05759235	-14.81013844	-18.99508	-23.18398925	-27.90550402	-12.25855197	-16.11639082	-19.9624405	-24.0184765	-28.75305821	-19.93311713	-22.91998585	-26.69069818
	13600000	-19.3203455	-22.31428505	-26.07362225	-11.64365632	-15.50164789	-19.34669085	-23.40142922	-28.14175469	-9.418509852	-14.17881619	-18.36549434	-22.55062011	-27.2676766	-11.61744344	-15.48200117	-19.33094129	-23.38269728	-28.0922867	-19.29166264	-22.28183355	-26.04970376
	14450000	-18.72747841	-21.69331957	-25.47559903	-11.04683541	-14.91422671	-18.76029619	-22.81311108	-27.55052479	-8.801500408	-13.56652415	-17.74951527	-21.96275433	-26.64813009	-11.02202843	-14.89219962	-18.7482765	-22.79765015	-27.51244219	-18.6656678	-21.68637415	-25.43366658
	15300000	-18.18555803	-21.17263397	-24.94010325	-10.50124189	-14.37837347	-18.22203163	-22.27341548	-27.01219728	-8.279567429	-13.04505838	-17.2392596	-21.42598857	-26.12788394	-10.47774066	-14.35171519	-18.20716049	-22.25999799	-26.97168321	-18.14700369	-21.14714069	-24.90998362
	16150000	-17.67704158	-20.66614151	-24.43127662	-9.991262652	-13.86717626	-17.71438129	-21.76238779	-26.50038834	-7.769127858	-12.5414404	-16.73305218	-20.92174808	-25.62142841	-9.970048663	-13.84278962	-17.69881289	-21.75045275	-26.46624674	-17.63829513	-20.64360344	-24.40341331
	17000000	-17.19521878	-20.18507471	-23.9494575	-9.510148907	-13.38461469	-17.23265713	-21.28220885	-26.01756323	-7.288253083	-12.06005915	-16.25207201	-20.43861738	-25.14182716	-9.488389726	-13.3613273	-17.21593668	-21.26821614	-25.98620515	-17.16247039	-20.15857572	-23.92164937
	17850000	-16.74314941	-19.73386272	-23.49834119	-9.058653	-12.93370975	-16.78126657	-20.83185918	-25.56582834	-6.83670148	-11.60911282	-15.80170289	-19.98779546	-24.69158481	-9.037029506	-12.91086769	-16.76547867	-20.81621459	-25.53433749	-16.71171936	-19.7061124	-23.47212962
	18700000	-16.31719545	-19.30940674	-23.07151987	-8.63238581	-12.51002576	-16.35915145	-20.40842605	-25.14020407	-6.41131807	-11.18679904	-15.38107268	-19.56381143	-24.26674025	-8.610670924	-12.48758085	-16.34272708	-20.39284192	-25.11051386	-16.28632512	-19.2813267	-23.04579566
