BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2016/10/1419:14																																																																																																
Meas. Finish Time	2016/10/1420:01																																																																																																
Linear Scale Origin X(mm)	-102.6																																																																																																
Linear Scale Origin Y(mm)	110.258																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.004	0.002	-9.999	-19.999
Y(beam)[mm]	-49.999	-49.999	-49.999	-49.999	-49.999	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.996	29.996	29.997	29.996	29.997	29.997	29.997	29.997	29.997	39.996	39.996	39.996	39.996	39.996	39.996	39.996	49.997	49.997	49.997	49.997	49.997
S32-5.1MHz(dB)	-19.301532	-22.41322632	-25.30452544	-28.1001733	-30.9872231	-16.21044117	-19.0650104	-21.8061424	-24.45095097	-27.05422475	-29.71760286	-32.5492399	-16.19804218	-17.82483556	-19.91056225	-22.15118268	-24.45272731	-26.80161238	-29.23657714	-31.83515462	-34.72128554	-19.29657946	-19.06825721	-19.91089681	-21.35073217	-23.10634351	-25.04335322	-27.114992	-29.32636176	-31.71209397	-34.37543791	-37.48364644	-22.41634376	-21.80958871	-22.15202641	-23.09972582	-24.43929277	-26.03793237	-27.85044529	-29.84418384	-32.03322122	-34.5302821	-37.44833334	-25.30615006	-24.450519	-24.44709139	-25.03561576	-26.04581556	-27.36993505	-28.93454848	-30.72914813	-32.76374066	-35.10676228	-37.88987502	-28.13112881	-27.0688794	-26.80006739	-27.11495013	-27.86022088	-28.9429836	-30.28656949	-31.92886611	-33.82197173	-36.06444698	-38.75921413	-31.03092687	-29.74893509	-29.23141425	-29.33443043	-29.84138043	-30.73946552	-31.93412726	-33.42031203	-35.21881536	-37.40492142	-40.11874124	-32.58361506	-31.86193129	-31.7376978	-32.07621363	-32.78944337	-33.84148145	-35.22843991	-36.97076618	-39.13995378	-34.75833973	-34.40244076	-34.55673101	-35.12942574	-36.08469578	-37.40646126	-39.13871509	-37.53588725	-37.48638921	-37.93016114	-38.80501764	-40.1218502
S42-5.1MHz(dB)	-40.14585086	-38.80652484	-37.91311352	-37.43646513	-37.47257945	-39.18081724	-37.41881479	-36.07131042	-35.11430845	-34.52216255	-34.35257139	-34.68798086	-39.18305357	-36.98643641	-35.23177421	-33.83660408	-32.77064678	-32.04274634	-31.69197346	-31.80359687	-32.5097124	-40.18381874	-37.43976161	-35.24277967	-33.43238179	-31.93937392	-30.73341937	-29.84134956	-29.30781615	-29.20755435	-29.68013326	-30.92074485	-38.84382437	-36.10486593	-33.85384507	-31.93687968	-30.30073134	-28.92204498	-27.83983122	-27.08929015	-26.75153293	-27.0100177	-28.04174212	-37.94938815	-35.13614489	-32.78311417	-30.73473928	-28.93592962	-27.36573751	-26.0362673	-25.02038223	-24.41689212	-24.40158631	-25.22838823	-37.4996399	-34.56010459	-32.06056092	-29.85511453	-27.8599205	-26.05269359	-24.42315294	-23.0943687	-22.13301174	-21.77757375	-22.32877936	-37.54980088	-34.41254558	-31.71179152	-29.33328815	-27.10275407	-25.04317628	-23.10666822	-21.35385627	-19.91515589	-19.06227011	-19.25897556	-34.75194535	-31.85677203	-29.25472143	-26.81618498	-24.46286684	-22.16366584	-19.93046158	-17.85458706	-16.2122206	-32.57371358	-29.73019779	-27.06303804	-24.4519781	-21.81537789	-19.08592183	-16.23247304	-31.00131653	-28.11359064	-25.29458507	-22.41130203	-19.29308391
S12-5.1MHz(dB)	-37.57290143	-37.53111082	-37.96861072	-38.82317013	-40.15705128	-34.79651605	-34.43982806	-34.5879046	-35.15897507	-36.10263831	-37.42953755	-39.176058	-32.62937429	-31.89680299	-31.76636779	-32.0966512	-32.81335935	-33.86469015	-35.24446504	-36.98313762	-39.17017918	-31.0929272	-29.80036964	-29.29569448	-29.37109061	-29.89069335	-30.76779003	-31.95771916	-33.44295968	-35.23763399	-37.41316702	-40.12251785	-28.19999499	-27.12562325	-26.85080154	-27.14975116	-27.88142632	-28.9519727	-30.3155973	-31.94058108	-33.82712807	-36.07608589	-38.78834812	-25.37025086	-24.50366063	-24.48761842	-25.06700568	-26.07032567	-27.38608938	-28.94801921	-30.73953254	-32.76929264	-35.11182844	-37.89577146	-22.4772311	-21.85798354	-22.18276791	-23.12530581	-24.46013862	-26.0607758	-27.84227126	-29.84949917	-32.05031873	-34.53271825	-37.42749775	-19.36951476	-19.12088446	-19.92281496	-21.36754005	-23.09513615	-25.04120375	-27.11039068	-29.31838503	-31.70800293	-34.37463219	-37.49243558	-16.25274402	-17.85496598	-19.92341013	-22.15706332	-24.4493086	-26.79384315	-29.23012783	-31.82581296	-34.69084679	-16.2160541	-19.0579671	-21.79136414	-24.43142982	-27.03990272	-29.7042758	-32.5174914	-19.26565798	-22.37912838	-25.26805086	-28.08642716	-30.95166587
S52-5.1MHz(dB)	-31.10819815	-28.21906644	-25.39994889	-22.49389037	-19.39572548	-32.67652818	-29.83296429	-27.16334745	-24.55466435	-21.90898081	-19.18009946	-16.34380967	-34.85278585	-31.95274521	-29.35033894	-26.90700162	-24.55954483	-22.26202821	-20.02610618	-17.95596534	-16.34333269	-37.66153534	-34.52043552	-31.83564912	-29.43686508	-27.22180231	-25.14840738	-23.20909009	-21.45998459	-20.0222602	-19.17561472	-19.36963111	-37.61389395	-34.67227927	-32.17254934	-29.95732564	-27.95729207	-26.14121689	-24.54095836	-23.20149415	-22.22899307	-21.89145496	-22.47351937	-38.05268525	-35.24495853	-32.88840815	-30.83859509	-29.04168876	-27.47001444	-26.14598779	-25.13219938	-24.53133568	-24.52133048	-25.35688744	-38.94140639	-36.20032577	-33.94617398	-32.03833255	-30.40768989	-29.0399219	-27.93138286	-27.20105906	-26.87888666	-27.1328532	-28.14764047	-40.28433125	-37.54400518	-35.32004235	-33.53199318	-32.01748432	-30.83042753	-29.94019473	-29.4076748	-29.31554172	-29.79515694	-31.05161608	-39.28893466	-37.09261497	-35.33676733	-33.94444705	-32.87778442	-32.14711763	-31.80143512	-31.91434431	-32.60165117	-39.28516109	-37.52084876	-36.17749236	-35.21421879	-34.62956399	-34.46148316	-34.78196346	-40.25307008	-38.91097725	-38.01301339	-37.56113474	-37.57047232
S22-5.1MHz(dB)	-22.59579066	-22.59839967	-22.60037159	-22.59462197	-22.59468137	-22.59963763	-22.60196547	-22.60485646	-22.60464522	-22.60278743	-22.60182044	-22.59811033	-22.59354801	-22.59874158	-22.60382558	-22.60407459	-22.60584555	-22.60466071	-22.60039973	-22.59682678	-22.59118666	-22.58461059	-22.59282619	-22.59584485	-22.59958287	-22.59838719	-22.59982739	-22.60021723	-22.59903138	-22.59577364	-22.59292856	-22.5816676	-22.58833367	-22.59654071	-22.59994162	-22.60242554	-22.60211781	-22.60026772	-22.60518204	-22.60623438	-22.59983906	-22.59993052	-22.59443286	-22.59606011	-22.60568438	-22.60897898	-22.61319815	-22.61487374	-22.61526665	-22.61604582	-22.61607493	-22.61061735	-22.60524425	-22.60168307	-22.59825789	-22.60598305	-22.60898084	-22.61253003	-22.61216994	-22.61263122	-22.60559746	-22.60941924	-22.60582375	-22.60198951	-22.58754917	-22.58835725	-22.59655151	-22.59312406	-22.6019322	-22.59831848	-22.60113422	-22.60055685	-22.59910317	-22.59507037	-22.5919523	-22.58411663	-22.58196046	-22.59047838	-22.59495898	-22.59726148	-22.5988757	-22.59862456	-22.59701961	-22.59272449	-22.58043871	-22.58821872	-22.59426454	-22.59566341	-22.59789809	-22.59753235	-22.59633802	-22.58817401	-22.59151501	-22.59489121	-22.59515859	-22.59625793	-22.58822483
S12-S52	-0.014611168	-0.025531673	-0.041068664	-0.063591237	-0.097383862	-0.005032345	-0.013269355	-0.025189353	-0.041732232	-0.064606822	-0.096455492	-0.141343397	0.005276387	0.000163188	-0.008275025	-0.020308279	-0.036285795	-0.056806467	-0.082410619	-0.112379572	-0.141344319	0.014794403	0.013565763	0.008695095	0.000256475	-0.011518907	-0.026334014	-0.043869297	-0.063253894	-0.082441172	-0.096486889	-0.09766729	0.02574304	0.025560413	0.02081747	0.012126321	0.000350966	-0.013632401	-0.028791588	-0.043879909	-0.057012326	-0.064720995	-0.063721441	0.041374304	0.042252824	0.036974499	0.027089544	0.014403122	0.000410844	-0.01358908	-0.026342939	-0.036361898	-0.0418648	-0.041229167	0.063890124	0.06525466	0.057702213	0.044772348	0.029667412	0.014450628	0.00041379	-0.011470781	-0.020321796	-0.025224672	-0.025692753	0.097850716	0.097383285	0.083753096	0.06437529	0.044955048	0.027228542	0.012262991	0.000349815	-0.008237852	-0.013267075	-0.01467001	0.143090925	0.114036739	0.083779154	0.057928737	0.037210424	0.021044235	0.008853913	0.000259885	-0.005010704	0.143737856	0.098152292	0.065835554	0.042688733	0.025906025	0.013797754	0.005431197	0.099109254	0.064704485	0.041954817	0.026174868	0.015113642
S12+S52	0.041058686	0.052106745	0.066338327	0.086493136	0.117025488	0.041440963	0.051204224	0.062482992	0.076652795	0.095932327	0.123343159	0.163333492	0.041449901	0.050674975	0.05988238	0.069990092	0.082032732	0.097338229	0.116989166	0.140685221	0.163349302	0.040973413	0.051150215	0.059892452	0.067738288	0.075565396	0.084228939	0.094352167	0.105802175	0.117046924	0.123425279	0.117387163	0.052066034	0.062493536	0.07006705	0.075683368	0.080364857	0.084988542	0.089780394	0.094462485	0.097719747	0.096142407	0.086715338	0.066400552	0.076829407	0.082327872	0.084514443	0.085026024	0.085041805	0.084977708	0.084426518	0.082341517	0.076975426	0.066711631	0.086482384	0.096229831	0.097855518	0.094788856	0.090012997	0.085087898	0.080666712	0.075821742	0.070269331	0.062756013	0.052586735	0.117206618	0.123918936	0.118032075	0.106489663	0.095091752	0.084707464	0.075945514	0.068058792	0.060193151	0.051487753	0.041363676	0.164797098	0.141987861	0.117992191	0.098090026	0.082619302	0.070438226	0.060253336	0.050995482	0.041864961	0.165453462	0.12475878	0.096892259	0.077387901	0.063021224	0.051638165	0.041900866	0.118534945	0.087376031	0.067095631	0.052658238	0.041568558
(S12-S52)/(S12+S52)	-0.355860588	-0.489987863	-0.619078977	-0.735217155	-0.832159421	-0.121434076	-0.259145708	-0.403139351	-0.544431964	-0.673462471	-0.782009257	-0.865366899	0.127295523	0.003220282	-0.138187974	-0.290159341	-0.442333122	-0.583598728	-0.704429492	-0.798801546	-0.865288785	0.36107323	0.265214191	0.145178481	0.003786265	-0.152436267	-0.312648054	-0.464952725	-0.597850607	-0.704342915	-0.781743329	-0.832009974	0.49443058	0.409008905	0.297107845	0.160224379	0.004367156	-0.160402804	-0.320689035	-0.464522071	-0.583426865	-0.673178431	-0.734834715	0.623101817	0.549956403	0.449112777	0.320531534	0.169396636	0.004831077	-0.15991347	-0.312022095	-0.441598595	-0.543872276	-0.618020669	0.738764601	0.678112594	0.589667443	0.472337674	0.329590315	0.169831773	0.005129631	-0.151286167	-0.289198656	-0.401948284	-0.488578591	0.834856571	0.785862829	0.709579121	0.604521496	0.472754439	0.32144206	0.161470909	0.005139887	-0.13685697	-0.257674378	-0.354659248	0.868285465	0.803144284	0.710039818	0.590567047	0.450384145	0.298761573	0.14694478	0.00509623	-0.119687296	0.868750976	0.786736547	0.679471763	0.55162025	0.411068261	0.26720071	0.129620151	0.836118441	0.740529003	0.625298797	0.497070705	0.363583516
