BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2016/10/1419:14																																																																																																	
Meas. Finish Time	2016/10/1420:01																																																																																																	
Linear Scale Origin X(mm)	-102.6																																																																																																	
Linear Scale Origin Y(mm)	110.258																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-122.601	-112.604	-102.602	-92.601	-82.601	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-52.598	-152.604	-142.607	-132.605	-122.604	-112.604	-102.603	-92.601	-82.601	-72.6	-62.6	-52.598	-142.604	-132.605	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-62.6	-132.602	-122.604	-112.604	-102.602	-92.601	-82.601	-72.6	-122.601	-112.604	-102.602	-92.601	-82.601
Linear Scale Y (mm)		60.259	60.259	60.259	60.259	60.259	70.256	70.256	70.256	70.256	70.256	70.256	70.256	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	80.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	90.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	100.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	110.255	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	120.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	130.254	140.254	140.254	140.255	140.254	140.255	140.255	140.255	140.255	140.255	150.254	150.254	150.254	150.254	150.254	150.254	150.254	160.255	160.255	160.255	160.255	160.255
R(beam)[mm]		20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.004	0.002	-9.999	-19.999
Y(beam)[mm]		-49.999	-49.999	-49.999	-49.999	-49.999	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-40.002	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-30.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-20.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	9.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	19.996	29.996	29.996	29.997	29.996	29.997	29.997	29.997	29.997	29.997	39.996	39.996	39.996	39.996	39.996	39.996	39.996	49.997	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		23.23527915	23.25148533	23.26977928	23.28381719	23.30820566	23.34935341	23.34986497	23.36244092	23.3696858	23.38215269	23.39450273	23.39631265	23.45763957	23.48417294	23.49601402	23.49220722	23.54229551	23.57288237	23.58954557	23.6306336	23.66160997	23.77154505	23.80453389	23.84229291	23.86482472	23.89172423	23.91881849	23.93319917	23.93337315	23.93097118	23.92941833	23.88487666	23.78433394	23.79599325	23.68566087	23.65126461	23.64271098	23.56349779	23.53196832	23.48897949	23.50004934	23.42280706	23.39455726	23.29905219	23.26879252	23.24121787	23.23571021	23.22621657	23.22628408	23.22435212	23.21548948	23.24505323	23.25205142	23.26314983	23.32705791	23.3418281	23.38657751	23.37518826	23.47432355	23.42967801	23.44295248	23.49609971	23.4750792	23.5393612	23.53542457	23.63836146	23.67065957	23.67924435	23.72568424	23.75654116	23.78477019	23.81499091	23.84390288	23.95733056	23.90019475	23.93459361	24.00614386	23.9629369	24.00365619	23.95625032	23.89854583	23.84827058	23.80471046	23.75949623	23.71888341	23.63577512	23.60159439	23.57005453	23.54708907	23.504282	23.45470267	23.41670735	23.33057647	23.30745001	23.27694365	23.25336276	23.23919242
BPM Temperature[℃]		21.07447416	21.07634381	21.08356271	21.1012724	21.11742405	21.17237081	21.18551026	21.20254479	21.2211893	21.24461179	21.25756946	21.26704752	21.30257076	21.31921579	21.34154765	21.35723189	21.37839522	21.39916905	21.42108543	21.44962347	21.48997663	21.56759283	21.59072968	21.63053752	21.63728902	21.65868606	21.64211893	21.62760322	21.58706829	21.54219683	21.50171384	21.45471306	21.29641652	21.26645027	21.22150091	21.19407946	21.15408985	21.13661387	21.0969878	21.08021293	21.05437549	21.03290055	21.0153207	20.9056349	20.89319657	20.89509218	20.88647105	20.90186964	20.90867307	20.92762919	20.95497273	20.98265386	21.00745261	21.03731498	21.13791223	21.15845235	21.18338094	21.20075305	21.21542457	21.23417294	21.25380421	21.27572059	21.29727344	21.31773565	21.34383277	21.44271618	21.46741106	21.49935082	21.5282524	21.5575435	21.59410543	21.61950143	21.63773046	21.65705012	21.67551285	21.69711763	21.69343028	21.62326668	21.56689172	21.50789405	21.44783173	21.39187224	21.33845754	21.29275513	21.25014282	21.14775383	21.12131914	21.09994807	21.04977928	21.01796936	20.98618541	20.94684498	20.90786809	20.88771748	20.87857699	20.86691768	20.85842638
Frequency (Hz) / Data (dB)	850000	-34.21176226	-37.31618392	-40.23062083	-42.99800156	-45.89627277	-31.14529012	-33.9988891	-36.74313216	-39.38533683	-41.98276381	-44.66620279	-47.50000032	-31.13418353	-32.75955377	-34.86012272	-37.09331422	-39.40863613	-41.7452706	-44.1866428	-46.80077897	-49.7206538	-34.20477878	-34.00119873	-34.84575033	-36.29404262	-38.05356628	-39.99019221	-42.06656287	-44.30888969	-46.70472958	-49.41881961	-52.51073685	-37.32024337	-36.74269658	-37.10566867	-38.04128767	-39.37952833	-40.97582826	-42.80615205	-44.84912147	-46.9950476	-49.53115508	-52.46365141	-40.20948658	-39.38820585	-39.39554201	-39.99321443	-41.00208483	-42.34499632	-43.90566789	-45.73922212	-47.74826099	-50.15341249	-52.99952767	-43.03193206	-42.01045928	-41.74323067	-42.06499981	-42.82475451	-43.92138999	-45.22300392	-46.94961878	-48.82135681	-51.13779966	-53.73463032	-45.95283643	-44.69632453	-44.13168372	-44.28182228	-44.7799135	-45.6991622	-46.93545644	-48.43736933	-50.2308995	-52.44391593	-55.21394946	-47.53388211	-46.8401807	-46.73021919	-47.05244858	-47.80247969	-48.85578359	-50.25498102	-52.03528173	-54.16891264	-49.76623045	-49.38774524	-49.5711186	-50.16302097	-51.09853392	-52.44669805	-54.22192391	-52.57228913	-52.51869462	-52.98533148	-53.89726862	-55.23812828
	1700000	-28.41530439	-31.52264875	-34.41437527	-37.19176422	-40.0903546	-25.34287348	-28.19418131	-30.93128481	-33.57418756	-36.17011212	-38.82627233	-41.65327017	-25.32851076	-26.95636195	-29.05090282	-31.28419936	-33.587368	-35.92637099	-38.35409634	-40.95611343	-43.83120759	-28.40743252	-28.1981542	-29.0411266	-30.48504553	-32.23824718	-34.17541179	-36.24329316	-38.45526018	-40.83386721	-43.49565068	-46.58040835	-31.52347295	-30.93338676	-31.28689928	-32.23315216	-33.57646287	-35.16195501	-36.9812152	-38.98294832	-41.14835062	-43.66086317	-46.55709427	-34.41031791	-33.57009007	-33.57760713	-34.16538328	-35.18430568	-36.50739413	-38.07074821	-39.86370807	-41.89099506	-44.24213918	-47.02649431	-37.23587382	-36.18684336	-35.92273	-36.24770277	-36.99359982	-38.08015031	-39.40744021	-41.06281514	-42.95736873	-45.20553101	-47.87268422	-40.120804	-38.86804486	-38.33111471	-38.45890338	-38.9520509	-39.86677164	-41.06413889	-42.54455875	-44.33701436	-46.5438641	-49.23830761	-41.67684549	-40.97452259	-40.85868885	-41.19524423	-41.91639797	-42.96585886	-44.36188088	-46.09057454	-48.23113187	-43.8657335	-43.52082691	-43.66802928	-44.25879973	-45.21170736	-46.51951332	-48.23603208	-46.64693017	-46.6055681	-47.03820942	-47.92666919	-49.21964555
	2550000	-25.0512533	-28.16064122	-31.05134663	-33.83349533	-36.71985773	-21.97061567	-24.8255185	-27.56470338	-30.21338528	-32.80529471	-35.47222788	-38.30036314	-21.95889286	-23.58695211	-25.67437879	-27.91389721	-30.21478066	-32.56276612	-34.98833683	-37.58285659	-40.46783831	-25.04401811	-24.82776638	-25.67260356	-27.11483713	-28.8700079	-30.80707571	-32.87474409	-35.09058469	-37.46593086	-40.12206954	-43.22632846	-28.16224705	-27.56743633	-27.91445687	-28.86346143	-30.20066855	-31.79549473	-33.61121656	-35.60649109	-37.78356573	-40.28743321	-43.17839632	-31.04947411	-30.20317152	-30.20818356	-30.79970025	-31.81136989	-33.13450558	-34.69821826	-36.49397949	-38.52057693	-40.86082346	-43.64143127	-33.86939045	-32.82344723	-32.55465981	-32.8744367	-33.6184912	-34.70697876	-36.04660013	-37.69195843	-39.57446751	-41.81134348	-44.48397687	-36.76174806	-35.49532933	-34.97544068	-35.09582255	-35.59159186	-36.49703375	-37.68708608	-39.18206939	-40.97244403	-43.15184067	-45.85724946	-38.3115638	-37.6109293	-37.48245932	-37.83347669	-38.54206474	-39.59304086	-40.98314517	-42.71488001	-44.87521384	-40.49318707	-40.14608115	-40.30427912	-40.8787723	-41.83883652	-43.1511516	-44.87946464	-43.27009312	-43.23331807	-43.6563541	-44.54154183	-45.84263356
	3400000	-22.66832785	-25.77775056	-28.66875425	-31.45798578	-34.34331966	-19.58390355	-22.43769179	-25.17903228	-27.82299934	-30.42165109	-33.08143489	-35.90449503	-19.56992786	-21.19794785	-23.28880989	-25.52787337	-27.82879305	-30.17561873	-32.60091372	-35.19814444	-38.07959194	-22.6613139	-22.44090847	-23.28563415	-24.72775515	-26.48342482	-28.41692878	-30.48596548	-32.7006205	-35.0781741	-37.74116231	-40.83246589	-25.78011101	-25.18123354	-25.5258256	-26.47517696	-27.81442427	-29.4109903	-31.22390541	-33.21839156	-35.39324703	-37.88733895	-40.80123751	-28.66726868	-27.82182275	-27.81934797	-28.41313666	-29.42529829	-30.74700287	-32.30973847	-34.10456333	-36.13247108	-38.46986963	-41.2554788	-31.48921186	-30.43802482	-30.17137164	-30.48838876	-31.23717564	-32.31626502	-33.65377612	-35.29954816	-37.19669056	-39.43711289	-42.12259578	-34.38558677	-33.1155524	-32.59502274	-32.70425524	-33.20895245	-34.10984671	-35.30368093	-36.79354664	-38.58806009	-40.76420712	-43.47629073	-35.9414377	-35.22460741	-35.1073436	-35.44290049	-36.15423157	-37.20955838	-38.59048312	-40.33110939	-42.48542325	-38.11403406	-37.76946358	-37.91936498	-38.48483501	-39.43825314	-40.76168665	-42.48403947	-40.8922174	-40.84387452	-41.2817956	-42.15886299	-43.46927653
