BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Nakanishi      Uno      Toyanma      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2016/10/1420:20																																																																																																
Meas. Finish Time	2016/10/1421:07																																																																																																
Linear Scale Origin X(mm)	-102.6																																																																																																
Linear Scale Origin Y(mm)	110.258																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.001	10.004	0.002	-9.999	-19.999	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	40.004	30.005	20.004	10.004	0.002	-9.999	-19.998	-30	-40	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.002	-9.999	-19.999	-30	-40	-50.002	50.004	40.007	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	-50.002	40.004	30.005	20.004	10.004	0.003	-9.999	-19.999	-30	-40	30.002	20.004	10.004	0.002	-9.999	-19.999	-30	20.001	10.003	0.002	-9.999	-19.998
Y(beam)[mm]	-49.998	-49.998	-49.998	-49.998	-49.998	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-30.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	19.997	19.997	19.998	19.998	19.997	19.997	19.997	19.997	19.998	19.998	19.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	29.998	39.997	39.998	39.998	39.997	39.997	39.997	39.997	49.997	49.998	49.998	49.998	49.998
S32-5.1MHz(dB)	-14.31249113	-16.36878055	-19.1933091	-22.31325085	-25.60529652	-17.27724317	-17.2191674	-18.3965896	-20.3498626	-22.75399896	-25.44963224	-28.41356164	-21.47428357	-20.0676526	-19.82242511	-20.51539097	-21.89531473	-23.7414199	-25.97764086	-28.52082076	-31.43804017	-26.08773043	-23.80234761	-22.56009552	-22.21487517	-22.61525324	-23.60080197	-25.08755561	-26.94422884	-29.11426951	-31.71146732	-34.78883568	-28.06453528	-26.03475296	-24.8824621	-24.46667568	-24.6825549	-25.4299429	-26.62156181	-28.17566082	-30.10746183	-32.42288261	-35.25510453	-30.13041195	-28.23469263	-27.11754987	-26.64999283	-26.73568268	-27.27764185	-28.26871926	-29.62443945	-31.3499831	-33.45388954	-36.11114032	-32.32404687	-30.4692258	-29.32324259	-28.81625584	-28.7838731	-29.22375881	-30.0355809	-31.24361564	-32.82460386	-34.81969793	-37.34740772	-34.72022424	-32.80732625	-31.64277445	-31.03365409	-30.94227327	-31.27129321	-31.97998871	-33.07507805	-34.54258717	-36.47117888	-38.99694812	-35.38951372	-34.11894336	-33.44363847	-33.24646571	-33.48270523	-34.10171288	-35.12427821	-36.57072962	-38.51346816	-36.8725717	-36.08114892	-35.79162438	-35.95410257	-36.53838409	-37.5246739	-38.97246942	-39.17266854	-38.75273628	-38.82518734	-39.36989109	-40.40396613
S42-5.1MHz(dB)	-40.57241584	-39.52336761	-38.95287021	-38.84269461	-39.24964295	-39.16570378	-37.68264076	-36.66597373	-36.0728466	-35.89949266	-36.16814229	-36.93793919	-38.70848946	-36.74935322	-35.29388274	-34.25656198	-33.61255343	-33.34349096	-33.5273189	-34.18723801	-35.43422073	-39.23921779	-36.68323266	-34.73635882	-33.242544	-32.13412953	-31.39279329	-31.07075224	-31.16471885	-31.70979294	-32.86911145	-34.72504218	-37.59395755	-35.03123306	-33.01380161	-31.42449833	-30.21264264	-29.37621422	-28.93973541	-28.92680028	-29.43498873	-30.52444744	-32.35477133	-36.34575781	-33.6805191	-31.53580653	-29.79937809	-28.43346573	-27.42126988	-26.85738649	-26.75496314	-27.20176761	-28.26707519	-30.14164032	-35.4781897	-32.63293807	-30.2693368	-28.34787726	-26.75179016	-25.56615189	-24.79250442	-24.56518821	-24.95944517	-26.07838794	-28.05938922	-35.04703283	-31.92111753	-29.32703679	-27.09954143	-25.25132821	-23.7726128	-22.75078927	-22.32835842	-22.63811621	-23.84008169	-26.08254568	-31.66775128	-28.7362951	-26.18332782	-23.94787144	-22.07401591	-20.66144499	-19.94565407	-20.1638182	-21.5196015	-28.63452432	-25.66703959	-22.95934639	-20.55225389	-18.58677048	-17.3762605	-17.36951923	-25.8334473	-22.54096393	-19.41747622	-16.58373468	-14.49624237
S12-5.1MHz(dB)	-34.96905082	-35.38769042	-36.2385142	-37.48166866	-39.1186258	-31.5956259	-31.84260726	-32.53515044	-33.5723435	-34.92110731	-36.57273704	-38.5769266	-28.57370976	-28.65316778	-29.24682938	-30.20068936	-31.43141643	-32.88848934	-34.62670744	-36.63704111	-39.04104454	-25.76004646	-25.58527277	-26.09984301	-27.0416807	-28.26525908	-29.68562723	-31.32521078	-33.15091217	-35.17845458	-37.57525118	-40.42328683	-22.46148272	-22.87776647	-23.87030216	-25.1839752	-26.69244847	-28.34704516	-30.13257034	-32.04898009	-34.17573304	-36.57250516	-39.41698267	-19.32188378	-20.45742548	-21.9899927	-23.69825169	-25.49792565	-27.33735179	-29.28791993	-31.33247574	-33.53612657	-35.96960429	-38.84709675	-16.46055463	-18.47676915	-20.56234654	-22.66878456	-24.70954535	-26.77198119	-28.83256843	-30.98850108	-33.2839367	-35.81528416	-38.74113483	-14.35893578	-17.26169617	-19.86269566	-22.22835026	-24.48944559	-26.67568089	-28.85024181	-31.08961072	-33.4561911	-36.08717479	-39.15734189	-17.29202642	-20.09767229	-22.58625317	-24.89979481	-27.13686146	-29.35413672	-31.65877745	-34.13307237	-36.88824581	-21.46677247	-23.81649779	-26.04459943	-28.24662092	-30.48397044	-32.82915343	-35.38378189	-26.09185317	-28.06502018	-30.13152367	-32.32627214	-34.72405501
S52-5.1MHz(dB)	-34.77320374	-32.36571097	-30.16370631	-28.09454098	-26.1239017	-35.45024519	-32.86899594	-30.51575674	-28.27761182	-26.08111348	-23.8537812	-21.52271822	-36.95572381	-34.1809281	-31.70909537	-29.40151008	-27.16884713	-24.91878051	-22.62345276	-20.14584601	-17.36576272	-39.24903125	-36.15335651	-33.51143876	-31.12711205	-28.88691856	-26.69310455	-24.53038887	-22.29405869	-19.89244389	-17.32025171	-14.40942888	-38.83692972	-35.87213753	-33.33012733	-31.03013948	-28.87717051	-26.80415917	-24.75958396	-22.69121298	-20.61020472	-18.49520153	-16.46657071	-38.91915034	-36.0385603	-33.56691052	-31.35484897	-29.3079544	-27.34747075	-25.49716685	-23.69923644	-21.983935	-20.41420744	-19.26121021	-39.46958465	-36.61514091	-34.1746629	-32.05830225	-30.10656616	-28.33413033	-26.66392793	-25.15547953	-23.83421875	-22.81967445	-22.35825823	-40.50381003	-37.60822908	-35.21616966	-33.12965362	-31.31758549	-29.68888469	-28.24120825	-27.00811201	-26.0433278	-25.50102245	-25.63791592	-39.08065756	-36.66817585	-34.63872738	-32.90405806	-31.41724962	-30.15613563	-29.19214806	-28.58833168	-28.47998344	-38.59664679	-36.57713096	-34.90633372	-33.553499	-32.4998172	-31.7873096	-31.50097107	-39.12539719	-37.46738335	-36.20476859	-35.33512169	-34.88769139
S22-5.1MHz(dB)	-22.58694597	-22.59121625	-22.59275811	-22.59349987	-22.59216009	-22.59587122	-22.59988288	-22.60313816	-22.60590187	-22.60684332	-22.60311413	-22.59771173	-22.60219157	-22.60597362	-22.61009798	-22.61319959	-22.61250347	-22.60809285	-22.60901635	-22.60656294	-22.60167532	-22.59585228	-22.6035496	-22.6061315	-22.60962773	-22.61218926	-22.60572387	-22.60986986	-22.60826274	-22.59612973	-22.59976172	-22.58390634	-22.59135916	-22.5970425	-22.59976446	-22.6025467	-22.6034737	-22.6048186	-22.60273003	-22.59513743	-22.59763462	-22.59209347	-22.58544103	-22.58754186	-22.59353575	-22.59878595	-22.60124227	-22.6042701	-22.59780363	-22.60456578	-22.60471967	-22.60158964	-22.59099836	-22.58964613	-22.59039325	-22.59972029	-22.59586738	-22.6059294	-22.60140346	-22.60865286	-22.60416784	-22.60738115	-22.60566383	-22.60429835	-22.59688007	-22.59528167	-22.60325675	-22.6061751	-22.60168707	-22.60847634	-22.61158946	-22.60997349	-22.61053527	-22.60478574	-22.59883144	-22.593517	-22.59367691	-22.60121483	-22.60301222	-22.60354705	-22.60490038	-22.59693814	-22.59663149	-22.59662406	-22.5896319	-22.58009828	-22.59248577	-22.59355977	-22.59425021	-22.5945275	-22.59121446	-22.58279716	-22.58208477	-22.58400325	-22.58723991	-22.58468107	-22.58287204
S12-S52	-0.000406964	-0.007076693	-0.015612709	-0.026016362	-0.03834088	0.009431447	0.002850756	-0.006181753	-0.017598844	-0.031707818	-0.0493293	-0.072139505	0.023068585	0.017385488	0.008512865	-0.002978023	-0.016990253	-0.034085955	-0.055367429	-0.083606763	-0.124261771	0.040619528	0.036998243	0.028438839	0.016680143	0.002667021	-0.013486543	-0.032210076	-0.054787049	-0.083824816	-0.122920341	-0.180814982	0.063889873	0.055713924	0.04249265	0.026969364	0.010291665	-0.007435501	-0.026668582	-0.04837901	-0.073662852	-0.10407792	-0.139506267	0.096794832	0.079091234	0.058551687	0.038270579	0.018855722	5.00266E-05	-0.018781281	-0.038193393	-0.058532706	-0.079438688	-0.097458389	0.139674905	0.104403196	0.074175469	0.048595467	0.026909216	0.007548151	-0.010258605	-0.027015318	-0.042644344	-0.056090102	-0.064663572	0.182012579	0.123891325	0.084247648	0.055316241	0.032466694	0.013591757	-0.002621982	-0.016732105	-0.028627581	-0.037391534	-0.04123339	0.125467163	0.084206362	0.055710409	0.034250772	0.017108098	0.003004394	-0.008579753	-0.017554199	-0.023362163	0.072708491	0.049612827	0.031886442	0.017691142	0.006194735	-0.002909625	-0.009590101	0.038532147	0.026128434	0.015667879	0.007083054	0.000342593
S12+S52	0.036099504	0.041089735	0.046451993	0.052743137	0.060476858	0.043200411	0.048305603	0.053417684	0.059518028	0.067597915	0.079004465	0.095699959	0.051463712	0.056468101	0.06046163	0.064779027	0.070626598	0.079438904	0.092494837	0.113063046	0.146596349	0.06242565	0.068141366	0.07065299	0.072228906	0.074559601	0.079063104	0.086506279	0.098790262	0.118667152	0.149360705	0.199863695	0.086755521	0.087881854	0.085597251	0.08314177	0.082264974	0.083938373	0.088956165	0.098334243	0.112768848	0.133753878	0.160894793	0.119445055	0.11064869	0.1004971	0.092381827	0.087346527	0.085883455	0.087430246	0.092444201	0.100627043	0.11124767	0.120297288	0.160934293	0.133933842	0.113286282	0.098497114	0.089383558	0.084164857	0.082602447	0.083457649	0.085978781	0.088469277	0.087782796	0.200885517	0.150231493	0.118939022	0.099427283	0.086810583	0.079143729	0.074818774	0.072521218	0.071111096	0.068772857	0.063270919	0.147700115	0.113557248	0.092786474	0.079522502	0.070831996	0.065123217	0.060830334	0.056852735	0.051978741	0.096215515	0.079272984	0.067837635	0.059701371	0.053623208	0.048573454	0.043618452	0.060650875	0.052899202	0.04662721	0.041302574	0.03637103
(S12-S52)/(S12+S52)	-0.011273387	-0.172225334	-0.336104186	-0.493265348	-0.633976065	0.218318455	0.059015026	-0.11572485	-0.295689298	-0.469065032	-0.624386228	-0.753809148	0.448249547	0.30788158	0.140797806	-0.04597203	-0.240564511	-0.429083905	-0.598600217	-0.739470288	-0.847645736	0.650686507	0.542963029	0.402514305	0.230934449	0.035770328	-0.170579483	-0.372343794	-0.554579451	-0.706386009	-0.822976436	-0.904691477	0.73643582	0.63396391	0.496425403	0.32437804	0.125103846	-0.088582859	-0.299794649	-0.491985379	-0.653219873	-0.778130116	-0.867065143	0.810371197	0.714795939	0.582620666	0.414265235	0.215872595	0.000582494	-0.214814454	-0.413150774	-0.581679683	-0.714070572	-0.810146187	0.867900198	0.779513186	0.654761257	0.493369447	0.301053311	0.089682925	-0.124192502	-0.323700924	-0.495986841	-0.634006554	-0.736631493	0.90605128	0.824669465	0.708326383	0.556348715	0.373994648	0.171735109	-0.035044433	-0.23072013	-0.402575447	-0.543696092	-0.651695764	0.849472349	0.74153226	0.600415202	0.43070541	0.241530648	0.046133997	-0.141043995	-0.308766127	-0.449456107	0.755683642	0.625847852	0.470040586	0.296327236	0.115523401	-0.059901551	-0.219863392	0.635310661	0.493928697	0.336024376	0.17149184	0.009419389
