BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Tajima      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2019/08/2317:00																																																																																																
Meas. Finish Time	2019/08/2317:50																																																																																																
Linear Scale Origin X(mm)	-99.673																																																																																																
Linear Scale Origin Y(mm)	88.51																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.002	10.004	0.003	-9.997	-19.998	30.003	20.005	10.004	0.003	-9.997	-19.998	-30	40.005	30.006	20.005	10.004	0.003	-9.997	-19.998	-30	-40.001	50.005	40.007	30.006	20.005	10.005	0.004	-9.997	-19.998	-29.999	-40.001	-50.002	50.005	40.007	30.006	20.005	10.005	0.004	-9.997	-19.998	-30	-40.001	-50.002	50.005	40.007	30.006	20.005	10.004	0.003	-9.997	-19.998	-29.999	-40.001	-50.002	50.005	40.007	30.006	20.005	10.005	0.003	-9.997	-19.998	-29.999	-40.001	-50.002	50.005	40.007	30.006	20.005	10.005	0.003	-9.997	-19.998	-30	-40.001	-50.002	40.005	30.006	20.005	10.005	0.004	-9.997	-19.998	-29.999	-40	30.003	20.005	10.005	0.003	-9.997	-19.998	-30	20.002	10.005	0.003	-9.997	-19.998
Y(beam)[mm]	-49.998	-49.998	-49.998	-49.998	-49.998	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	19.997	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	29.996	29.997	29.996	29.996	29.996	29.996	29.996	29.996	29.997	39.997	39.997	39.997	39.997	39.997	39.997	39.997	49.997	49.997	49.997	49.997	49.997
S32-5.1MHz(dB)	-47.19489627	-48.28011575	-49.63773963	-51.3096852	-53.3195601	-43.18609437	-44.31312117	-45.66735404	-47.2834096	-49.03187835	-51.03345382	-53.35100432	-39.15900837	-40.49016091	-42.03753624	-43.76114665	-45.52099847	-47.3818912	-49.4115154	-51.70950955	-54.27970055	-34.80009186	-36.61301244	-38.56242424	-40.48020108	-42.34306333	-44.25776519	-46.23124865	-48.34674913	-50.57640123	-53.08551233	-56.10467716	-32.41733028	-34.99276731	-37.30471242	-39.43132964	-41.54457704	-43.54166496	-45.58140668	-47.68706414	-49.93035106	-52.42018484	-55.35480661	-31.56256643	-34.39612922	-36.84716935	-39.09961243	-41.21775965	-43.27386909	-45.33247533	-47.46483694	-49.71798068	-52.2202307	-55.09687415	-32.35552511	-34.93076834	-37.26537202	-39.41817241	-41.48411182	-43.52045019	-45.55594488	-47.67516144	-49.9269558	-52.41938766	-55.34013538	-34.71004975	-36.55412183	-38.48499899	-40.39914346	-42.30954809	-44.23637972	-46.21595915	-48.30778593	-50.54619194	-53.09963514	-56.04794171	-39.0658031	-40.43675647	-42.00032293	-43.68185947	-45.46006573	-47.36140623	-49.39518892	-51.63753164	-54.24813813	-43.08700911	-44.22466229	-45.62120295	-47.21704258	-49.003064	-51.00655548	-53.29918626	-47.14507988	-48.20775685	-49.59455462	-51.26652258	-53.2546156
S42-5.1MHz(dB)	-53.42491417	-51.44686516	-49.76471932	-48.38977491	-47.32080601	-53.44819614	-51.16070931	-49.15723246	-47.40870273	-45.79177278	-44.41769383	-43.32529378	-54.43102012	-51.81466503	-49.54244032	-47.55292542	-45.66503092	-43.85781995	-42.16189105	-40.66962779	-39.30352586	-56.22038806	-53.25936757	-50.73284769	-48.4946195	-46.39086822	-44.41113375	-42.47655504	-40.62084468	-38.64522462	-36.74669739	-34.88327387	-55.46856224	-52.58481934	-50.11140382	-47.84644946	-45.76444604	-43.69248652	-41.67030217	-39.58142893	-37.42873045	-35.10959405	-32.54679064	-55.28525163	-52.36662013	-49.89725818	-47.63274857	-45.50076962	-43.44064115	-41.36955266	-39.25326259	-37.0153665	-34.54576393	-31.72235219	-55.50436296	-52.5920004	-50.07762172	-47.83067823	-45.71097312	-43.68344793	-41.64676669	-39.59210592	-37.44252198	-35.13260425	-32.55970458	-56.23538534	-53.24029147	-50.71748647	-48.46245056	-46.39061335	-44.40322296	-42.47857027	-40.56635478	-38.65761261	-36.74607125	-34.89353142	-54.4240455	-51.82191837	-49.55697119	-47.52246114	-45.62772159	-43.85241822	-42.17005903	-40.6148801	-39.25218015	-53.44513123	-51.15043476	-49.15083757	-47.37530217	-45.80618381	-44.39703207	-43.25272547	-53.43116626	-51.41743642	-49.76396927	-48.3717523	-47.30532126
S12-5.1MHz(dB)	-56.16103256	-55.43414346	-55.17701569	-55.42031864	-56.15554217	-54.39949897	-53.22238139	-52.501045	-52.3131612	-52.51348508	-53.18961236	-54.38948254	-53.43257226	-51.7444416	-50.6536047	-50.05455435	-49.8445087	-50.01268052	-50.62041012	-51.79845357	-53.4125996	-53.37815454	-51.07990294	-49.51645667	-48.43604265	-47.74424779	-47.53305826	-47.73272187	-48.41638366	-49.44282219	-51.06378598	-53.30640299	-51.35682964	-49.09496109	-47.45678939	-46.30402475	-45.68448589	-45.42302343	-45.645261	-46.29000067	-47.41263975	-49.0590946	-51.3256022	-49.73576591	-47.32292687	-45.54811847	-44.31882488	-43.58932464	-43.3358854	-43.57269909	-44.30133003	-45.52320113	-47.26246672	-49.66562027	-48.30061105	-45.70267434	-43.77654731	-42.38923741	-41.56346046	-41.28490711	-41.54796842	-42.37341509	-43.7503132	-45.67626306	-48.25790926	-47.25995456	-44.32170383	-42.09836687	-40.48414278	-39.49368265	-39.16540427	-39.48729051	-40.45907417	-42.06252926	-44.27813653	-47.17307928	-43.18143198	-40.54265303	-38.5790029	-37.34574981	-36.91643365	-37.32869552	-38.53932426	-40.49391391	-43.12777124	-39.18481897	-36.66972933	-35.02560745	-34.44557137	-35.00255437	-36.6213315	-39.12031901	-34.82075022	-32.47181597	-31.5996753	-32.43423153	-34.75931097
S52-5.1MHz(dB)	-34.86775149	-32.55001262	-31.68308949	-32.52948314	-34.88591785	-39.28710115	-36.77611707	-35.08486828	-34.56062666	-35.09042155	-36.7599594	-39.33206932	-43.26902189	-40.59979932	-38.63200006	-37.46534619	-37.04538358	-37.4199414	-38.63127203	-40.67058007	-43.30576264	-47.32048217	-44.38009777	-42.20323818	-40.59765477	-39.5748404	-39.22899859	-39.56152399	-40.60162011	-42.15045235	-44.38329061	-47.29645794	-48.37466465	-45.80154533	-43.8593075	-42.45478322	-41.68298725	-41.36816084	-41.65251708	-42.45627062	-43.82981027	-45.76459825	-48.35962716	-49.77933474	-47.3868418	-45.59692571	-44.39330869	-43.65481513	-43.41215271	-43.65408254	-44.37848947	-45.61557008	-47.352846	-49.75591319	-51.43114601	-49.13450223	-47.50402507	-46.36377327	-45.69624554	-45.48163707	-45.69761517	-46.37534133	-47.50404695	-49.15745852	-51.39322377	-53.43543871	-51.14234841	-49.52080129	-48.44599331	-47.81029193	-47.61225478	-47.81511342	-48.44604433	-49.53822297	-51.14471309	-53.40730982	-53.43227706	-51.80297266	-50.7222883	-50.08136125	-49.86772494	-50.06968944	-50.69987567	-51.77474155	-53.4263936	-54.40172068	-53.21962757	-52.56852101	-52.35740374	-52.57060502	-53.23204385	-54.38049718	-56.22684891	-55.49956592	-55.21197089	-55.47874723	-56.20129603
S22-5.1MHz(dB)	-36.63235606	-36.65488523	-36.65969957	-36.69291719	-36.63508981	-36.66689517	-36.69423452	-36.70183395	-36.70509691	-36.69303961	-36.72300119	-36.67229678	-36.65531229	-36.69446415	-36.71704389	-36.73611969	-36.73776439	-36.72798477	-36.71528823	-36.69671228	-36.65278079	-36.63043452	-36.67877013	-36.72665948	-36.74757569	-36.74725294	-36.79211593	-36.78773631	-36.74727978	-36.708375	-36.67431345	-36.62328122	-36.64879894	-36.70221823	-36.77452337	-36.78624173	-36.76895096	-36.75963249	-36.75648115	-36.74306599	-36.7548376	-36.68985868	-36.63506501	-36.70035247	-36.70995081	-36.72990089	-36.75676522	-36.80270519	-36.76001618	-36.75956212	-36.74730292	-36.72704704	-36.69420031	-36.65281612	-36.68360246	-36.73368758	-36.73494507	-36.78423129	-36.79721395	-36.7684762	-36.8015505	-36.75425419	-36.77246483	-36.69741856	-36.65305223	-36.64004441	-36.68519476	-36.71836668	-36.74669702	-36.79429757	-36.76089833	-36.75736916	-36.73618559	-36.71908536	-36.68265201	-36.62403627	-36.65835941	-36.692525	-36.72383637	-36.7351805	-36.73795615	-36.72876708	-36.75121424	-36.69303848	-36.65175002	-36.65994705	-36.69274958	-36.70001713	-36.70481281	-36.70335577	-36.68331392	-36.65408707	-36.63100636	-36.64603203	-36.65567629	-36.64352759	-36.62496856
S12-S52	-0.01649984	-0.021886007	-0.024309862	-0.021939105	-0.016461133	-0.008949807	-0.012312065	-0.015238799	-0.016282536	-0.015230938	-0.012330804	-0.008891554	-0.004733592	-0.006745869	-0.008772718	-0.010246045	-0.010832366	-0.01030103	-0.008762469	-0.006686162	-0.004699718	-0.002161681	-0.003246843	-0.004416264	-0.005548913	-0.006401625	-0.00672729	-0.006412293	-0.005536073	-0.0044351	-0.003239437	-0.002155826	-0.001108054	-0.001618147	-0.002174611	-0.002698601	-0.003041272	-0.003186535	-0.0030467	-0.00268949	-0.002174829	-0.001625484	-0.001104919	1.63111E-05	3.15533E-05	2.95831E-05	5.19333E-05	4.96891E-05	5.95422E-05	6.18093E-05	5.3899E-05	5.60073E-05	4.48615E-05	3.39862E-05	0.001163747	0.00169279	0.002258988	0.002788876	0.003162458	0.003304832	0.003178188	0.002809121	0.002278581	0.001717805	0.001170964	0.002205875	0.003307587	0.004512191	0.005676044	0.006531266	0.006845725	0.006541327	0.005703402	0.004551358	0.003338915	0.002242545	0.004803083	0.006824847	0.008867461	0.010441351	0.011051127	0.010463817	0.008913867	0.006869345	0.004844604	0.009078879	0.012489995	0.015377705	0.016544271	0.01542539	0.012575098	0.009156087	0.016609552	0.022111921	0.024568256	0.022211059	0.016733867
S12+S52	0.019611401	0.025269169	0.027794673	0.025327656	0.019574662	0.012760948	0.016676328	0.019980976	0.021128408	0.019966327	0.016711564	0.012707092	0.008993511	0.011919648	0.014638822	0.016531002	0.01727116	0.016616359	0.014651034	0.011827869	0.008969444	0.006448373	0.008831993	0.011102892	0.013121214	0.014601696	0.015129182	0.014623253	0.013125532	0.011178655	0.00883496	0.006478076	0.006517945	0.008637256	0.010650603	0.012377562	0.013435822	0.013898739	0.013488298	0.012384092	0.010694013	0.008673636	0.006534294	0.0065036	0.008576078	0.010529448	0.012112412	0.01318043	0.013562296	0.013193658	0.012134972	0.010533358	0.008622894	0.006538792	0.006527548	0.008680017	0.01068901	0.012401486	0.013542945	0.013944991	0.013557038	0.012408937	0.010708583	0.00868659	0.006558235	0.006464388	0.008852728	0.011195475	0.013239675	0.014669223	0.015171358	0.014674768	0.013266989	0.011221251	0.008882547	0.006514872	0.009063147	0.011963879	0.014687362	0.016706941	0.017472734	0.016737831	0.014748805	0.012025107	0.009107555	0.012889046	0.016855642	0.020083185	0.021365523	0.020129741	0.016934509	0.012975575	0.019697625	0.025469696	0.028039071	0.025576893	0.019831038
(S12-S52)/(S12+S52)	-0.841339164	-0.866115018	-0.874623066	-0.866211413	-0.840940863	-0.701343416	-0.738295919	-0.762665406	-0.770646609	-0.762831202	-0.737860606	-0.699731566	-0.526334126	-0.565945292	-0.599277598	-0.619807888	-0.627193871	-0.619933047	-0.598078525	-0.565288821	-0.523969794	-0.335228926	-0.367622929	-0.397757978	-0.422896303	-0.438416549	-0.444656574	-0.438499803	-0.421778946	-0.396747228	-0.366661199	-0.332788028	-0.170000537	-0.18734508	-0.204177279	-0.218023622	-0.22635549	-0.229267939	-0.225877295	-0.217172988	-0.203368842	-0.1874051	-0.169095359	0.002508018	0.003679223	0.002809563	0.004287606	0.003769918	0.004390271	0.004684774	0.004441625	0.005317134	0.005202603	0.005197631	0.17828234	0.195021452	0.211337409	0.224882396	0.233513345	0.236990586	0.234430845	0.226378844	0.212780858	0.197753672	0.178548715	0.341234844	0.373623473	0.403037011	0.428714759	0.445235967	0.451226919	0.445753364	0.429894259	0.405601672	0.375896184	0.344219332	0.529957512	0.570454342	0.603747714	0.624970866	0.632478393	0.62515965	0.604378955	0.571250174	0.53193248	0.704387233	0.740997874	0.7657005	0.774344314	0.766298468	0.742572345	0.705640191	0.843226128	0.868165848	0.876215053	0.868403345	0.843822039
