BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Tajima      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2019/08/2317:00																																																																																																	
Meas. Finish Time	2019/08/2317:50																																																																																																	
Linear Scale Origin X(mm)	-99.673																																																																																																	
Linear Scale Origin Y(mm)	88.51																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-119.675	-109.677	-99.676	-89.676	-79.675	-129.676	-119.678	-109.677	-99.676	-89.676	-79.675	-69.673	-139.678	-129.679	-119.678	-109.677	-99.676	-89.676	-79.675	-69.673	-59.672	-149.678	-139.68	-129.679	-119.678	-109.678	-99.677	-89.676	-79.675	-69.674	-59.672	-49.671	-149.678	-139.68	-129.679	-119.678	-109.678	-99.677	-89.676	-79.675	-69.673	-59.672	-49.671	-149.678	-139.68	-129.679	-119.678	-109.677	-99.676	-89.676	-79.675	-69.674	-59.672	-49.671	-149.678	-139.68	-129.679	-119.678	-109.678	-99.676	-89.676	-79.675	-69.674	-59.672	-49.671	-149.678	-139.68	-129.679	-119.678	-109.678	-99.676	-89.676	-79.675	-69.673	-59.672	-49.671	-139.678	-129.679	-119.678	-109.678	-99.677	-89.676	-79.675	-69.674	-59.673	-129.676	-119.678	-109.678	-99.676	-89.676	-79.675	-69.673	-119.675	-109.678	-99.676	-89.676	-79.675
Linear Scale Y (mm)		38.512	38.512	38.512	38.512	38.512	48.509	48.509	48.509	48.509	48.509	48.509	48.509	58.509	58.509	58.509	58.509	58.509	58.509	58.509	58.509	58.509	68.508	68.508	68.508	68.508	68.508	68.508	68.508	68.508	68.508	68.508	68.508	78.507	78.507	78.507	78.507	78.507	78.507	78.507	78.507	78.507	78.507	78.507	88.507	88.507	88.507	88.507	88.507	88.507	88.507	88.507	88.507	88.507	88.507	98.507	98.507	98.507	98.507	98.507	98.507	98.507	98.507	98.507	98.507	98.507	108.507	108.508	108.508	108.508	108.508	108.508	108.508	108.508	108.508	108.508	108.508	118.506	118.507	118.506	118.506	118.506	118.506	118.506	118.506	118.507	128.507	128.507	128.507	128.507	128.507	128.507	128.507	138.507	138.507	138.507	138.507	138.507
R(beam)[mm]		20.002	10.004	0.003	-9.997	-19.998	30.003	20.005	10.004	0.003	-9.997	-19.998	-30	40.005	30.006	20.005	10.004	0.003	-9.997	-19.998	-30	-40.001	50.005	40.007	30.006	20.005	10.005	0.004	-9.997	-19.998	-29.999	-40.001	-50.002	50.005	40.007	30.006	20.005	10.005	0.004	-9.997	-19.998	-30	-40.001	-50.002	50.005	40.007	30.006	20.005	10.004	0.003	-9.997	-19.998	-29.999	-40.001	-50.002	50.005	40.007	30.006	20.005	10.005	0.003	-9.997	-19.998	-29.999	-40.001	-50.002	50.005	40.007	30.006	20.005	10.005	0.003	-9.997	-19.998	-30	-40.001	-50.002	40.005	30.006	20.005	10.005	0.004	-9.997	-19.998	-29.999	-40	30.003	20.005	10.005	0.003	-9.997	-19.998	-30	20.002	10.005	0.003	-9.997	-19.998
Y(beam)[mm]		-49.998	-49.998	-49.998	-49.998	-49.998	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-10.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	19.997	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	29.996	29.997	29.996	29.996	29.996	29.996	29.996	29.996	29.997	39.997	39.997	39.997	39.997	39.997	39.997	39.997	49.997	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		22.19906777	22.21392885	22.24342508	22.23873799	22.23316022	22.21584783	22.2207115	22.19321735	22.18157102	22.19227473	22.17673851	22.17298883	22.16331343	22.18721631	22.16931706	22.15919761	22.15929629	22.16195793	22.1532511	22.16635679	22.18199948	22.22638535	22.23792002	22.21559855	22.19524279	22.15924176	22.16111659	22.17082576	22.15455726	22.15790963	22.16601922	22.16778239	22.12742924	22.13760322	22.15876396	22.17374708	22.19418073	22.18977668	22.16979486	22.17030122	22.18004674	22.19853545	22.20907297	22.16467671	22.16572059	22.17027525	22.20072449	22.20855882	22.22191379	22.20977928	22.18478577	22.1973046	22.2026954	22.19229551	22.25520644	22.26145417	22.24278889	22.2330148	22.23590756	22.2274578	22.21463516	22.22062841	22.22326149	22.20975071	22.18343807	22.16709426	22.16486627	22.15060504	22.13684757	22.15924176	22.1896832	22.17238639	22.1449234	22.12341729	22.13805245	22.12813036	22.12406128	22.11609712	22.11149572	22.13431576	22.16160478	22.16291613	22.17715658	22.20042067	22.20548948	22.14052714	22.10675928	22.11101532	22.10570241	22.08810699	22.10794079	22.11150351	22.10327447	22.09017658	22.10439107	22.10943651	22.12367697
BPM Temperature[℃]		20.35011685	20.31121787	20.2888081	20.26037393	20.21783952	20.19665022	20.2054791	20.23014801	20.24868865	20.21474942	20.20267463	20.18618541	20.18706829	20.17382498	20.15756946	20.16806024	20.18818489	20.16735913	20.19903921	20.17912231	20.21947546	20.20173981	20.17816152	20.16678785	20.1773046	20.16959231	20.19119709	20.19327447	20.20199948	20.20049338	20.1647624	20.15442742	20.11856661	20.11789146	20.13422488	20.14009348	20.1323033	20.11303558	20.12287717	20.11165931	20.15801091	20.19942872	20.20077902	20.17862893	20.21113996	20.22227993	20.22334459	20.2296027	20.22461698	20.20558297	20.19652038	20.19937679	20.20675149	20.21132173	20.23484809	20.26987795	20.27868086	20.27930408	20.26533368	20.2704752	20.2873799	20.26239938	20.20059725	20.1477798	20.13261491	20.17740847	20.16564529	20.15466113	20.11856661	20.14258634	20.19846793	20.21147754	20.18639314	20.15954298	20.15219424	20.17953778	20.21786549	20.19961049	20.17868086	20.16673591	20.17660348	20.20098676	20.19472864	20.18358868	20.20768632	20.25486887	20.27073487	20.27979746	20.26689172	20.2042846	20.15606336	20.17011166	20.17701896	20.16336017	20.17855103	20.18413399	20.19088548
Frequency (Hz) / Data (dB)	850000	-68.56022579	-66.80098122	-64.99519804	-63.5776745	-62.49958318	-69.0627552	-66.84647489	-64.17664427	-62.81533573	-60.89819067	-59.80914245	-59.36693636	-69.82989329	-66.94295027	-64.65173136	-63.10311901	-61.21957456	-59.02606563	-57.22735109	-56.28773029	-54.74239103	-71.53064164	-68.32726807	-66.53355595	-64.09011295	-61.5962051	-59.38431689	-57.51231509	-56.05124841	-53.71376288	-51.87348626	-49.9863941	-70.90835497	-67.90950922	-65.45217125	-62.92946939	-61.23585394	-58.92041225	-56.81501196	-54.66490236	-52.52085244	-50.21168624	-47.66448842	-70.74928556	-67.64975262	-65.05687879	-62.70356654	-60.52899471	-58.51819128	-56.43535639	-54.32953956	-52.13717215	-49.67762762	-46.87375533	-70.65048727	-67.64032898	-65.28442954	-62.99027462	-60.77718297	-58.76592201	-56.6662689	-54.72687106	-52.51884603	-50.27549055	-47.65979713	-71.69350319	-68.29616062	-65.75883804	-63.52696837	-61.41110027	-59.49861979	-57.56868562	-55.63903047	-53.7487514	-51.83751727	-50.00015783	-69.4309031	-66.91029465	-64.74031578	-62.59933222	-60.71372001	-58.93079133	-57.18317896	-55.67370746	-54.31505016	-68.74902699	-66.39741654	-64.21766297	-62.45786054	-60.89116732	-59.40927069	-58.33307252	-68.5253331	-66.54069033	-64.89368291	-63.32892347	-62.33975261
	1700000	-62.56806756	-60.46248435	-58.87113711	-57.44562177	-56.41771372	-62.30843584	-60.14625269	-58.3440803	-56.44464319	-54.93218277	-53.47017339	-52.32730663	-63.34795396	-60.99759491	-58.75605724	-56.57370383	-54.72355356	-52.9992891	-51.32072608	-49.76670033	-48.41289642	-65.12527467	-62.41052786	-59.70968445	-57.53674998	-55.51406686	-53.57438859	-51.64833626	-49.71715662	-47.82649676	-45.91586473	-44.07306072	-64.52401179	-61.60366309	-59.09882418	-57.00053764	-54.84650506	-52.85572966	-50.82253865	-48.78423429	-46.59582214	-44.30369433	-41.74369739	-64.15174392	-61.46703551	-59.02689591	-56.80614484	-54.64585186	-52.62877453	-50.56773464	-48.43890615	-46.20292745	-43.74257799	-40.91914646	-64.71655064	-61.70472318	-59.24147539	-56.98736907	-54.84630692	-52.85737079	-50.82071266	-48.79188681	-46.61371503	-44.32293507	-41.76491195	-65.31598985	-62.40200203	-59.83527777	-57.60334012	-55.54080962	-53.57081062	-51.67394445	-49.75214252	-47.84787112	-45.93531303	-44.09203215	-63.60502091	-61.00822495	-58.71884863	-56.69023179	-54.78897476	-53.0144927	-51.300171	-49.79032381	-48.43365056	-62.62068458	-60.33120476	-58.35221025	-56.5155709	-54.95206415	-53.55410759	-52.41531846	-62.46317119	-60.62866491	-58.88791372	-57.53362773	-56.4633999
	2550000	-59.16389593	-57.16923842	-55.47977978	-54.07930805	-53.05816449	-59.16306678	-56.87948155	-54.89591717	-53.1437613	-51.54215813	-50.13541062	-49.0441903	-60.07142636	-57.55982885	-55.31849756	-53.27655761	-51.3980057	-49.6045571	-47.90637476	-46.41112167	-45.0352325	-61.91355767	-58.99773635	-56.43874778	-54.19609466	-52.13129099	-50.15449237	-48.22136955	-46.35074892	-44.40904256	-42.50298602	-40.64448544	-61.26214965	-58.30305123	-55.83860791	-53.56844367	-51.49984704	-49.44724693	-47.4031713	-45.34448639	-43.17042223	-40.87335781	-38.32159723	-60.97198385	-58.10599883	-55.63696735	-53.3875243	-51.23721131	-49.19976838	-47.13227975	-45.01621917	-42.77145343	-40.31001639	-37.48827747	-61.30485861	-58.33240108	-55.85127594	-53.57169958	-51.4634797	-49.43796672	-47.39217989	-45.35196092	-43.19897868	-40.89110584	-38.32907312	-61.96227546	-59.01012257	-56.4563267	-54.23099803	-52.13697986	-50.16777674	-48.22965334	-46.33039935	-44.41564975	-42.5114647	-40.65728741	-60.13517022	-57.52248893	-55.3132074	-53.24431345	-51.3814815	-49.6035626	-47.91702344	-46.38511229	-45.00868173	-59.15019709	-56.90686726	-54.91759059	-53.14023083	-51.54761696	-50.13766504	-49.011674	-59.14997415	-57.17205979	-55.49794384	-54.12420302	-53.05441651
	3400000	-56.79347774	-54.79507765	-53.10804821	-51.71271934	-50.66140368	-56.75213637	-54.461923	-52.52066407	-50.70808614	-49.14048975	-47.7575811	-46.62856738	-57.72280257	-55.15646414	-52.91415908	-50.85734595	-48.98440874	-47.21178135	-45.52772222	-44.00818232	-42.64064926	-59.47428072	-56.60922479	-54.00878875	-51.82507238	-49.73889184	-47.77191315	-45.84589932	-43.96019724	-42.01715648	-40.11142155	-38.25378543	-58.83213006	-55.9358538	-53.42172666	-51.19620277	-49.07195403	-47.03035143	-45.01775443	-42.94553037	-40.78417199	-38.48287661	-35.92101786	-58.55070384	-55.70979294	-53.26052782	-50.98450217	-48.85363965	-46.79601976	-44.73723833	-42.62094847	-40.3781147	-37.91418193	-35.09124012	-58.86239327	-55.95176936	-53.43349745	-51.18838174	-49.07766166	-47.03426771	-45.00704883	-42.95916155	-40.80185888	-38.49727106	-35.9317606	-59.56204096	-56.61321568	-54.06211267	-51.82831733	-49.7483792	-47.75902103	-45.84204065	-43.93456269	-42.02750382	-40.11565779	-38.26372414	-57.76752977	-55.14933648	-52.92755377	-50.85285028	-48.97898455	-47.22039227	-45.53263548	-43.97714605	-42.61816698	-56.80196042	-54.49357375	-52.51321461	-50.74086045	-49.15314026	-47.75680361	-46.62199487	-56.77691331	-54.77603309	-53.1051252	-51.73678797	-50.6681995
