BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Toyama      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2019/08/2914:39																																																																																																
Meas. Finish Time	2019/08/2915:27																																																																																																
Linear Scale Origin X(mm)	-99.334																																																																																																
Linear Scale Origin Y(mm)	88.445																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.002	10.004	0.003	-9.998	-19.999	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	40.004	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	20.002	10.004	0.003	-9.998	-19.999
Y(beam)[mm]	-49.996	-49.996	-49.996	-49.996	-49.996	-40	-40	-40	-40	-40	-40	-40	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	9.997	9.998	9.998	9.998	9.998	9.998	9.997	9.997	9.998	9.998	9.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	39.997	39.997	39.997	39.997	39.997	39.997	39.997	49.997	49.997	49.997	49.997	49.997
S32-5.1MHz(dB)	-34.69053973	-35.74501329	-37.13121919	-38.79132292	-40.8012913	-30.63759237	-31.76610798	-33.1547586	-34.74319793	-36.51510464	-38.52660116	-40.82409722	-26.63064752	-27.96878563	-29.53008258	-31.19933661	-32.97701156	-34.8533046	-36.88285457	-39.15515341	-41.76660949	-22.27913655	-24.09835535	-25.98210815	-27.90948975	-29.8085656	-31.73236493	-33.70506393	-35.80722398	-38.0549703	-40.58568887	-43.59181877	-19.92248401	-22.46183965	-24.76301644	-26.91633488	-28.98539566	-30.98878561	-33.05214265	-35.16995599	-37.43638236	-39.92453353	-42.85086876	-19.04448591	-21.87977907	-24.33155612	-26.5828689	-28.70500956	-30.77137634	-32.82541767	-34.93834115	-37.21953337	-39.70408625	-42.6179786	-19.88003337	-22.4414094	-24.74457338	-26.90977256	-28.97537958	-30.99926704	-33.03734993	-35.14540989	-37.41861928	-39.93425749	-42.85302533	-22.21068648	-24.06469986	-25.97472941	-27.88578609	-29.79265131	-31.72797192	-33.69362502	-35.79058862	-38.03909872	-40.59172148	-43.59632712	-26.5712222	-27.93137565	-29.49745081	-31.17644521	-32.95494415	-34.8410701	-36.88901587	-39.14952542	-41.76142923	-30.5828861	-31.70673499	-33.11100908	-34.71105004	-36.48060841	-38.4993751	-40.80375176	-34.65055964	-35.71774043	-37.10582766	-38.78860005	-40.78459317
S42-5.1MHz(dB)	-40.89458042	-38.89932001	-37.22846663	-35.82916653	-34.78099886	-40.9101455	-38.62337527	-36.61882785	-34.84021781	-33.24284583	-31.85706317	-30.72629955	-41.86222406	-39.24952848	-36.99914158	-34.96280255	-33.0775726	-31.29039113	-29.60286479	-28.05708343	-26.70677443	-43.68568644	-40.68471861	-38.13509796	-35.90847468	-33.81958592	-31.83529742	-29.90089606	-28.01327356	-26.09421855	-24.17480843	-22.32624851	-42.94940248	-40.03083466	-37.52416783	-35.26947108	-33.16034032	-31.09574041	-29.08951441	-27.02850437	-24.87510927	-22.53888313	-19.99170776	-42.70665853	-39.828564	-37.31578692	-35.0648256	-32.94248218	-30.87886901	-28.81168941	-26.67617789	-24.44864106	-21.96999814	-19.14540562	-42.95687701	-40.03742911	-37.5210413	-35.27353015	-33.16216758	-31.11292812	-29.08447972	-27.01206533	-24.87211411	-22.56692589	-20.0119489	-43.69184908	-40.69890172	-38.16465565	-35.90691349	-33.82285403	-31.84987201	-29.90676292	-28.00958781	-26.09656402	-24.20638439	-22.37227675	-41.85723856	-39.26164093	-37.01050354	-34.96883476	-33.07786918	-31.30118768	-29.633814	-28.08121586	-26.7317489	-40.91244845	-38.60499849	-36.61211339	-34.83832331	-33.23461725	-31.86125719	-30.74091295	-40.9020844	-38.91336402	-37.23242753	-35.85654643	-34.79431463
S12-5.1MHz(dB)	-43.6339121	-42.8943831	-42.66787723	-42.88462068	-43.6393158	-41.79971874	-40.63733403	-39.98180873	-39.76455947	-39.97427548	-40.63778751	-41.80544595	-40.83939421	-39.18209681	-38.09529522	-37.46684045	-37.26339999	-37.45573407	-38.07854413	-39.18759083	-40.8487955	-40.81675985	-38.53179232	-36.90056197	-35.83402168	-35.19262855	-34.98248282	-35.17917214	-35.84300928	-36.92001835	-38.53479579	-40.80801164	-38.82408089	-36.53395301	-34.87410724	-33.74418345	-33.08661624	-32.84050699	-33.08565648	-33.75581726	-34.89364092	-36.52359206	-38.82516715	-37.14179865	-34.75477698	-32.98046635	-31.7676201	-31.04294856	-30.80464069	-31.03846287	-31.74708927	-32.99484203	-34.73843613	-37.15070672	-35.75062455	-33.16133567	-31.20588825	-29.83820537	-29.0142656	-28.73249117	-29.00455657	-29.82327193	-31.21541917	-33.1671725	-35.7676574	-34.68968408	-31.76939554	-29.53566461	-27.92822267	-26.94288723	-26.61736625	-26.92959857	-27.92669201	-29.52978965	-31.7762548	-34.70679169	-30.63280784	-27.98136172	-26.02658619	-24.79793104	-24.37594443	-24.79214686	-26.02737182	-27.99290339	-30.64531874	-26.62832921	-24.09766028	-22.47875366	-21.91035392	-22.46706116	-24.11367015	-26.63779577	-22.27418845	-19.93006629	-19.07524217	-19.93196828	-22.27507597
S52-5.1MHz(dB)	-22.34733666	-20.00706894	-19.17410918	-20.02890726	-22.40326403	-26.70822219	-24.20082668	-22.57623231	-22.01512378	-22.59003484	-24.2401528	-26.76198267	-30.71525732	-28.0549351	-26.10777288	-24.88393708	-24.47180919	-24.8916415	-26.1168009	-28.09749508	-30.76133294	-34.77467984	-31.83892672	-29.59437858	-28.01212131	-27.02668868	-26.69997522	-27.02981026	-28.04250789	-29.64661888	-31.8716091	-34.80374798	-35.83869316	-33.23449674	-31.28617187	-29.91766926	-29.09974017	-28.80498359	-29.10821263	-29.94600424	-31.32949784	-33.25548052	-35.87332761	-37.21630887	-34.83028221	-33.06423975	-31.85178748	-31.13052304	-30.89063027	-31.13235202	-31.8480743	-33.09460927	-34.84252628	-37.25607442	-38.89249396	-36.61431666	-34.95147748	-33.83172793	-33.17214952	-32.95135997	-33.1667498	-33.82965786	-34.98331869	-36.6437999	-38.93626944	-40.88746434	-38.62087632	-37.00426244	-35.91292264	-35.28077773	-35.07872311	-35.27605661	-35.92240656	-37.00982744	-38.64449371	-40.93388644	-40.91778471	-39.26711736	-38.18036735	-37.55259681	-37.34643337	-37.55305767	-38.19306471	-39.2922033	-40.9467637	-41.88059154	-40.70178035	-40.04943079	-39.84836512	-40.04795521	-40.7208462	-41.89736566	-43.71786086	-42.98130472	-42.74845292	-42.98840944	-43.73365945
S22-5.1MHz(dB)	-22.41872099	-22.41845007	-22.41943849	-22.40972714	-22.41775771	-22.42086084	-22.42398418	-22.42469014	-22.42377385	-22.42368363	-22.42293667	-22.42193214	-22.4217989	-22.41385056	-22.42589397	-22.42518915	-22.42629222	-22.41597261	-22.41680557	-22.41229321	-22.42044498	-22.41854332	-22.41304361	-22.41473677	-22.42481256	-22.41724333	-22.41568822	-22.41736431	-22.42498223	-22.42241822	-22.41277116	-22.4061895	-22.42195339	-22.42353514	-22.41731146	-22.41789212	-22.42809841	-22.42111885	-22.42827484	-22.42871479	-22.43096575	-22.41624273	-22.42180623	-22.42502517	-22.42768285	-22.41987843	-22.42948686	-22.43189104	-22.43307376	-22.43017001	-22.42339242	-22.42747559	-22.41495584	-22.42145184	-22.4232971	-22.42810841	-22.4192784	-22.42902026	-22.43151807	-22.43017193	-22.43049563	-22.42149228	-22.42760843	-22.42721649	-22.42560746	-22.42222215	-22.42563926	-22.42514182	-22.42681111	-22.42704795	-22.42945555	-22.41986145	-22.42582359	-22.41803501	-22.42379329	-22.42265623	-22.42485354	-22.42677677	-22.42794994	-22.43113933	-22.43019977	-22.42950071	-22.42777917	-22.42782859	-22.42534836	-22.42371937	-22.41551573	-22.42571733	-22.42795569	-22.41785586	-22.42460238	-22.42398665	-22.42179614	-22.4242255	-22.42615145	-22.42450291	-22.42183959
S12-S52	-0.069737898	-0.092752582	-0.102619747	-0.092493621	-0.06925216	-0.038065785	-0.052361116	-0.064313185	-0.069019868	-0.064186462	-0.05208309	-0.03778611	-0.02004423	-0.028572318	-0.037048813	-0.043604368	-0.046056403	-0.043536713	-0.036973352	-0.028385901	-0.019899973	-0.009147604	-0.013747421	-0.018846534	-0.023600499	-0.027138557	-0.02841954	-0.02709559	-0.02347837	-0.018679818	-0.013655412	-0.009077458	-0.004696266	-0.006886917	-0.00922798	-0.011374937	-0.012911163	-0.01348489	-0.012874516	-0.01129847	-0.009132821	-0.006816548	-0.004633445	0.0001187	0.000158321	0.000215365	0.000248797	0.000281338	0.000283956	0.00030167	0.000298928	0.000255823	0.00021831	0.000167389	0.004950635	0.007208495	0.009641209	0.011874409	0.013475235	0.014078169	0.013501205	0.011924998	0.009676459	0.007243772	0.00497579	0.009400863	0.014073914	0.019240842	0.024132444	0.027745893	0.029057739	0.027805374	0.024156988	0.019272456	0.014085378	0.009412726	0.020403561	0.029015853	0.037635025	0.044302994	0.046849991	0.04434204	0.037648518	0.028994254	0.020391211	0.038567974	0.053166464	0.065229823	0.070080777	0.065329396	0.053071796	0.038532727	0.070446633	0.09371368	0.103946607	0.093697408	0.070450614
S12+S52	0.082900277	0.107084716	0.117330542	0.106841871	0.082406353	0.054322922	0.070946148	0.084355116	0.089569404	0.084245782	0.070667151	0.054032531	0.038201907	0.050547129	0.061952591	0.07037681	0.073463308	0.070343409	0.061925204	0.050346817	0.038038007	0.02735266	0.037430621	0.047422565	0.0559099	0.061924082	0.064056928	0.061935048	0.055754357	0.047191909	0.037330424	0.027300858	0.027595763	0.036694883	0.045312807	0.05247295	0.057241311	0.059089069	0.057209562	0.052341473	0.045136589	0.036660092	0.027530078	0.027674597	0.036425676	0.044659864	0.051351118	0.055808291	0.057365864	0.055816933	0.051423099	0.044545196	0.036434577	0.027597418	0.027670477	0.036741944	0.045406035	0.052560278	0.05737099	0.059104027	0.057424256	0.052620565	0.045310416	0.036677142	0.027581416	0.027458328	0.037515456	0.047477733	0.056149682	0.062180181	0.064302441	0.062258384	0.056139286	0.047491262	0.037463268	0.027373939	0.038398101	0.050776617	0.062296079	0.07081241	0.073996146	0.070850049	0.062273548	0.05069226	0.038325816	0.054674446	0.071614111	0.085116328	0.090432995	0.085219279	0.071478994	0.054608125	0.083482411	0.107903103	0.118521566	0.107875231	0.083462703
(S12-S52)/(S12+S52)	-0.841226356	-0.866160794	-0.874620926	-0.865705732	-0.840374044	-0.700731546	-0.738040305	-0.762410015	-0.770574157	-0.761895253	-0.737019809	-0.699321492	-0.524691872	-0.56526094	-0.598018782	-0.61958433	-0.626930699	-0.61891673	-0.597064676	-0.563807256	-0.523160235	-0.334431986	-0.367277392	-0.397417022	-0.42211663	-0.438255294	-0.443660687	-0.437483958	-0.421103769	-0.395826701	-0.365798468	-0.332497169	-0.170180685	-0.187680574	-0.203650588	-0.216777165	-0.225556724	-0.228212934	-0.225041322	-0.215860756	-0.20233743	-0.185939194	-0.168304812	0.004289127	0.004346403	0.004822347	0.004845026	0.00504115	0.004949918	0.005404641	0.0058131	0.005743001	0.005991839	0.006065378	0.178913992	0.196192532	0.212333204	0.22591983	0.234878905	0.238193059	0.23511327	0.226622394	0.21355925	0.197500984	0.180403732	0.342368366	0.375149743	0.405260342	0.429787722	0.446217629	0.451891699	0.446612531	0.430304511	0.405810577	0.375978352	0.343857182	0.531369005	0.57144125	0.604131527	0.625638844	0.633140961	0.625857574	0.604566779	0.571966089	0.532048977	0.705411337	0.742402067	0.766360871	0.774946989	0.766603479	0.742481015	0.70562261	0.843850007	0.868498465	0.877026943	0.868572034	0.844096962
