BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Toyama      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2019/08/2914:39																																																																																																	
Meas. Finish Time	2019/08/2915:27																																																																																																	
Linear Scale Origin X(mm)	-99.334																																																																																																	
Linear Scale Origin Y(mm)	88.445																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-119.336	-109.338	-99.337	-89.336	-79.335	-129.337	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-139.338	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.337	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.337	-79.335	-69.334	-59.333	-49.332	-139.338	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-129.337	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-119.336	-109.338	-99.337	-89.336	-79.335
Linear Scale Y (mm)		38.449	38.449	38.449	38.449	38.449	48.445	48.445	48.445	48.445	48.445	48.445	48.445	58.444	58.444	58.444	58.444	58.444	58.444	58.444	58.444	58.444	68.444	68.444	68.444	68.444	68.444	68.444	68.444	68.444	68.444	68.444	68.444	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	88.443	88.443	88.443	88.443	88.443	88.443	88.443	88.443	88.443	88.443	88.443	98.442	98.443	98.443	98.443	98.443	98.443	98.442	98.442	98.443	98.443	98.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	118.442	118.442	118.442	118.442	118.442	118.442	118.442	118.442	118.442	128.442	128.442	128.442	128.442	128.442	128.442	128.442	138.442	138.442	138.442	138.442	138.442
R(beam)[mm]		20.002	10.004	0.003	-9.998	-19.999	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	40.004	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	20.002	10.004	0.003	-9.998	-19.999
Y(beam)[mm]		-49.996	-49.996	-49.996	-49.996	-49.996	-40	-40	-40	-40	-40	-40	-40	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-20.001	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	9.997	9.998	9.998	9.998	9.998	9.998	9.997	9.997	9.998	9.998	9.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	39.997	39.997	39.997	39.997	39.997	39.997	39.997	49.997	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		22.41776422	22.41884705	22.38851986	22.38303038	22.39049338	22.4011114	22.38736432	22.38341989	22.37671774	22.3750766	22.36914568	22.37649701	22.35100753	22.34203583	22.32622695	22.32244871	22.32028304	22.32555959	22.33228252	22.33016619	22.33603739	22.34295767	22.34381459	22.33791223	22.36072968	22.36812776	22.37478837	22.37683719	22.3915866	22.40671514	22.41931187	22.40286419	22.3900831	22.3930122	22.40431836	22.40028824	22.3778551	22.34512075	22.31916126	22.33325889	22.33244352	22.33312386	22.312537	22.34024669	22.34612049	22.33131135	22.31884446	22.30948585	22.30829135	22.28867827	22.28994287	22.29446118	22.28692028	22.28552584	22.32351597	22.33513633	22.33177097	22.3238925	22.32272656	22.31697741	22.31794858	22.29520384	22.27076863	22.2780187	22.29222799	22.31431836	22.31554142	22.33465593	22.35209556	22.34310828	22.33810439	22.33380161	22.30580628	22.25985458	22.26170086	22.28180213	22.26956635	22.28309011	22.28819787	22.28527395	22.30549208	22.28417035	22.28792521	22.30167229	22.30071929	22.24787068	22.25139964	22.2649208	22.2651597	22.24329784	22.23176578	22.24450013	22.20752012	22.21580628	22.20524799	22.20489483	22.20061802
BPM Temperature[℃]		20.39366398	20.3845235	20.37141002	20.36772267	20.3702415	20.34136588	20.3380161	20.37933004	20.35497273	20.35271358	20.3156323	20.30490782	20.31311348	20.39374189	20.39057388	20.40633602	20.39877954	20.36712542	20.36149052	20.36455466	20.35515451	20.34832511	20.34159958	20.3407167	20.37122825	20.48010906	20.59550766	20.6462737	20.68423786	20.65780317	20.60890678	20.56312646	20.46704752	20.4282524	20.41077642	20.35523241	20.32443521	20.2902363	20.28439366	20.28924955	20.31023111	20.29820826	20.32272137	20.36751493	20.35647884	20.35401194	20.34253441	20.34700078	20.35780317	20.37688912	20.37527915	20.36741106	20.38766554	20.37886263	20.38828876	20.39813036	20.40457024	20.40171384	20.41594391	20.39226175	20.36759283	20.35590756	20.33663983	20.32443521	20.34261231	20.39968839	20.40264866	20.41630745	20.4015061	20.39597507	20.35964684	20.33469229	20.3082576	20.29678006	20.3167489	20.29745521	20.36369774	20.38397819	20.36543755	20.3689691	20.36328226	20.35601143	20.35009089	20.33323812	20.32337055	20.3338094	20.31651519	20.32264347	20.30324591	20.3012724	20.31017917	20.31207479	20.28935341	20.27945988	20.26795637	20.29485848	20.27512334
Frequency (Hz) / Data (dB)	850000	-58.97377064	-58.4522734	-58.2845117	-58.51445375	-59.02332389	-57.16297677	-56.14777399	-55.37699542	-55.20845037	-55.27161404	-55.93202965	-57.22326527	-56.03440466	-54.33385121	-53.33156849	-52.63059639	-52.36957678	-52.58116606	-53.15262834	-54.47261178	-56.08853951	-56.06632063	-53.64576881	-51.88285546	-50.79737814	-50.16363146	-50.06191642	-50.17053889	-50.91861882	-51.80842379	-53.45653973	-55.84896031	-53.90838578	-51.51578615	-49.81632548	-48.77328672	-48.0334802	-47.68367079	-47.94141365	-48.60696549	-49.77683993	-51.38568612	-53.66783329	-51.98287308	-49.5662986	-47.81444489	-46.66268177	-45.92106008	-45.69272703	-45.90295617	-46.57498165	-47.81864828	-49.57484772	-52.10066761	-50.6050131	-48.02688954	-46.03143029	-44.69303849	-43.85506494	-43.56560895	-43.82107358	-44.62472093	-46.07260969	-47.99491743	-50.54706829	-49.52772885	-46.6192038	-44.40448768	-42.78379481	-41.79389031	-41.48517877	-41.70904219	-42.77542838	-44.34130026	-46.61303364	-49.54988939	-45.45267515	-42.7599456	-40.84483623	-39.62262753	-39.21117588	-39.63504285	-40.85349105	-42.80256196	-45.44804475	-41.44169417	-38.89686822	-37.32404815	-36.75361521	-37.26653178	-38.93951402	-41.45754331	-37.08118919	-34.75531578	-33.91025284	-34.75499966	-37.07970417
	1700000	-52.43196123	-51.69078728	-51.47714535	-51.661147	-52.42707545	-50.63440987	-49.48947721	-48.82452347	-48.62404097	-48.86884958	-49.49777723	-50.6476224	-49.69778597	-48.0396425	-46.97890915	-46.35853441	-46.15851913	-46.33980725	-46.95291479	-48.03765532	-49.70798504	-49.6730978	-47.41921337	-45.78786086	-44.7577302	-44.09894151	-43.88889936	-44.08581112	-44.75532502	-45.84214134	-47.41715931	-49.6287305	-47.69844858	-45.44172466	-43.7833685	-42.64862006	-42.01854881	-41.77680926	-42.02477144	-42.69006011	-43.82202119	-45.43005739	-47.72439125	-46.03811793	-43.68276955	-41.90295351	-40.71284223	-39.99336732	-39.75514887	-39.98719014	-40.67795354	-41.93090666	-43.6462462	-46.03735962	-44.66017208	-42.08706938	-40.12961921	-38.78595877	-37.96548688	-37.68990305	-37.96910991	-38.75810194	-40.15182195	-42.0913027	-44.69278466	-43.58553787	-40.69055667	-38.47367733	-36.87931865	-35.89854951	-35.58021373	-35.87774373	-36.87969352	-38.45220788	-40.69160186	-43.60884268	-39.55211167	-36.92916111	-34.97691278	-33.75954948	-33.34065559	-33.75329617	-34.98066386	-36.93351765	-39.56668162	-35.55493427	-33.0316551	-31.43962648	-30.87542031	-31.4115387	-33.06611349	-35.57026477	-31.21580678	-28.88970696	-28.04057397	-28.89094786	-31.21673833
	2550000	-49.14637316	-48.42662632	-48.19424908	-48.39901805	-49.15507404	-47.34661121	-46.18779921	-45.54197493	-45.33350121	-45.54121079	-46.20394645	-47.36511751	-46.40065447	-44.75330131	-43.67368242	-43.0482187	-42.85569386	-43.04426341	-43.65527447	-44.74031585	-46.40381498	-46.37983811	-44.10070748	-42.47949864	-41.43373325	-40.78671533	-40.56902723	-40.77394882	-41.44029407	-42.52435884	-44.11142378	-46.35702017	-44.39532202	-42.12321711	-40.47111113	-39.33960709	-38.69835584	-38.45116848	-38.70366541	-39.36782678	-40.500685	-42.11362702	-44.39878222	-42.73055978	-40.35234037	-38.58719863	-37.38359141	-36.6636019	-36.42379101	-36.66070082	-37.3543433	-38.60277905	-40.33301148	-42.72713002	-41.34337477	-38.76276072	-36.8113219	-35.45886676	-34.63759815	-34.35587582	-34.63039929	-35.43374651	-36.82933185	-38.76937431	-41.35785662	-40.26882203	-37.36826009	-35.14692482	-33.54838964	-32.56720615	-32.24265433	-32.54698412	-33.54753613	-35.13310447	-37.37497997	-40.2921263	-36.23069914	-33.59579115	-31.64478609	-30.42101852	-30.00179448	-30.41660246	-31.64487664	-33.60506741	-36.24503947	-32.22645387	-29.7074604	-28.10182546	-27.53650649	-28.08247705	-29.72968894	-32.24190162	-27.87803776	-25.54685905	-24.69979957	-25.55241417	-27.88318465
	3400000	-46.87692342	-46.13985955	-45.91432875	-46.12041574	-46.87440995	-45.05017749	-43.90341217	-43.24435598	-43.03501359	-43.23572619	-43.8978899	-45.06336658	-44.09708326	-42.43985293	-41.36105951	-40.73843464	-40.53547264	-40.72657279	-41.34208011	-42.44169254	-44.10034647	-44.07378117	-41.78998861	-40.16396189	-39.11005554	-38.46594346	-38.25859051	-38.45486534	-39.11543238	-40.20402213	-41.79959909	-44.05578514	-42.07710964	-39.80233533	-38.14503906	-37.01598782	-36.36988832	-36.121732	-36.37004249	-37.04092473	-38.17269082	-39.79005324	-42.08966434	-40.40351381	-38.02571914	-36.26196501	-35.05643556	-34.32793921	-34.08904817	-34.32577257	-35.02632682	-36.27550801	-38.01027411	-40.41637868	-39.01833757	-36.43630219	-34.48101616	-33.12698338	-32.30315214	-32.02050436	-32.29416662	-33.10228437	-34.49488704	-36.44342961	-39.03228458	-37.95455851	-35.04266318	-32.81899981	-31.21393315	-30.23137129	-29.90563968	-30.21638645	-31.21103153	-32.80860619	-35.04952063	-37.97367263	-33.90534802	-31.26471128	-29.3128943	-28.08575752	-27.66603064	-28.08160215	-29.31089001	-31.27123018	-33.91753084	-29.90553745	-27.3763918	-25.76562881	-25.19882026	-25.74902877	-27.39657336	-29.9147622	-25.55140598	-23.21383426	-22.36096179	-23.21577519	-25.55080501
