BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Tajima      Toyama      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2019/08/2915:43																																																																																																
Meas. Finish Time	2019/08/2916:32																																																																																																
Linear Scale Origin X(mm)	-99.334																																																																																																
Linear Scale Origin Y(mm)	88.445																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.001	10.004	0.003	-9.998	-19.999	30.002	20.004	10.004	0.003	-9.998	-19.999	-30	40.004	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	20.002	10.004	0.003	-9.998	-19.999
Y(beam)[mm]	-49.994	-49.994	-49.994	-49.994	-49.994	-39.997	-39.997	-39.997	-39.997	-39.997	-39.997	-39.997	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	20	20.001	20.001	20.001	20	20	20	20	20	20	20.001	30	30	30	30	30	30	30	30	30	40	40	40	40	40	40	40	50	50	50	50	50
S32-5.1MHz(dB)	-34.66090004	-35.73002081	-37.11811813	-38.80353292	-40.79583704	-30.6299368	-31.75478782	-33.14407778	-34.73250515	-36.51198602	-38.51426878	-40.81293398	-26.62019472	-27.9703045	-29.52556436	-31.18339701	-32.94955941	-34.85364057	-36.89860272	-39.16505024	-41.7578641	-22.26804071	-24.10306463	-26.01283232	-27.9127884	-29.79854044	-31.7299603	-33.71140716	-35.79396427	-38.05901839	-40.59053987	-43.59407814	-19.89008771	-22.44693843	-24.76165475	-26.92581609	-28.98658857	-31.01528275	-33.05640035	-35.17171786	-37.41646172	-39.93372934	-42.86141513	-19.04258818	-21.87955674	-24.34466398	-26.58119236	-28.70206864	-30.7661739	-32.83080286	-34.95951024	-37.2214251	-39.71887344	-42.62318562	-19.85167803	-22.42258823	-24.75066005	-26.90506457	-28.97477004	-30.99824728	-33.04812824	-35.1650491	-37.42922855	-39.93401707	-42.85946513	-22.21239852	-24.04406559	-25.97498541	-27.88711578	-29.78689443	-31.70871864	-33.7077955	-35.77937574	-38.03441944	-40.57260084	-43.59057433	-26.57221695	-27.93090342	-29.49721913	-31.17607418	-32.94068335	-34.83677643	-36.88699054	-39.15371091	-41.76161479	-30.58436638	-31.70426982	-33.09393243	-34.69590269	-36.47238572	-38.48599738	-40.79988438	-34.64772398	-35.71016602	-37.10281157	-38.78525011	-40.77008389
S42-5.1MHz(dB)	-40.87392615	-38.89115258	-37.21694693	-35.83783835	-34.77837399	-40.91671066	-38.61699151	-36.61493118	-34.83467966	-33.2438333	-31.8473779	-30.71771243	-41.85652903	-39.26336718	-37.00675295	-34.9501948	-33.05020068	-31.29159635	-29.61804121	-28.06090814	-26.69753692	-43.70151801	-40.70299144	-38.17165072	-35.91107446	-33.81078994	-31.83269722	-29.91053303	-27.99989888	-26.09560627	-24.17831269	-22.33138603	-42.93572263	-40.02589049	-37.52526036	-35.27593342	-33.16534661	-31.12493667	-29.09582522	-27.03177844	-24.86225405	-22.55331725	-19.99508952	-42.71409184	-39.82612888	-37.33047754	-35.06530044	-32.94123309	-30.87910387	-28.81822445	-26.7006096	-24.45196026	-21.99003118	-19.1494816	-42.9229006	-40.02545538	-37.53112441	-35.27253102	-33.16071774	-31.11430427	-29.09539234	-27.03555027	-24.88196315	-22.56502319	-20.01758031	-43.69909987	-40.68274331	-38.16573821	-35.90957533	-33.81556988	-31.83124985	-29.92236914	-28.00247408	-26.09136623	-24.18646064	-22.36713974	-41.85751771	-39.26593029	-37.01051311	-34.96606155	-33.0681636	-31.30082113	-29.63332243	-28.08610736	-26.73501872	-40.91769313	-38.60920534	-36.59816224	-34.8263909	-33.23068478	-31.8508407	-30.73640976	-40.90094126	-38.90278016	-37.23448342	-35.85643675	-34.77505301
S12-5.1MHz(dB)	-43.60240926	-42.88678371	-42.64673691	-42.8892322	-43.63511732	-41.7903127	-40.62632942	-39.97064414	-39.75680636	-39.97412395	-40.63139268	-41.7986183	-40.83349697	-39.18707174	-38.09879525	-37.44679174	-37.22689059	-37.45799274	-38.0952795	-39.19207393	-40.83870004	-40.81279263	-38.5406572	-36.92690865	-35.8334642	-35.18100487	-34.98113225	-35.19166007	-35.82709203	-36.92727877	-38.5378635	-40.82527633	-38.79103965	-36.51728891	-34.8736689	-33.75376798	-33.08537095	-32.86935294	-33.08870271	-33.75543814	-34.87544059	-36.53412881	-38.83105122	-37.14051791	-34.74860331	-32.99471827	-31.76319195	-31.03827959	-30.79783746	-31.04410657	-31.77331044	-32.99718882	-34.75750663	-37.14961154	-35.71932357	-33.14034034	-31.20982411	-29.83384247	-29.01063961	-28.72969286	-29.01234708	-29.84450344	-31.22359143	-33.15985271	-35.7687089	-34.69235414	-31.74547361	-29.53505551	-27.92772591	-26.93289365	-26.5940841	-26.94672129	-27.91347207	-29.51854864	-31.7505326	-34.70148453	-30.63377826	-27.97847458	-26.02438707	-24.79558503	-24.35899323	-24.78559032	-26.02502106	-27.9945129	-30.64830109	-26.6242532	-24.09430113	-22.45612644	-21.89220135	-22.45728641	-24.10162596	-26.63079328	-22.26726319	-19.91859182	-19.06660988	-19.92463024	-22.25141206
S52-5.1MHz(dB)	-22.31748415	-19.9911714	-19.15626565	-20.03611502	-22.3958624	-26.70061918	-24.18897659	-22.56532748	-22.00317329	-22.58773956	-24.22829823	-26.75206297	-30.70527725	-28.05951083	-26.10424557	-24.8667593	-24.44382968	-24.89133574	-26.13013953	-28.09872151	-30.75161328	-34.76251403	-31.84458806	-29.62361816	-28.01593515	-27.01726653	-26.69694133	-27.03795319	-28.02725234	-29.64870907	-31.87537586	-34.80701283	-35.80354108	-33.21950406	-31.28798507	-29.92662872	-29.10275577	-28.83198335	-29.11394118	-29.94649843	-31.31334691	-33.26788128	-35.87398501	-37.21335132	-34.82846441	-33.07571192	-31.84580057	-31.12559244	-30.89030771	-31.13717527	-31.87128261	-33.09655912	-34.86242426	-37.258054	-38.8636444	-36.59309181	-34.95844633	-33.82742455	-33.16778967	-32.94845724	-33.17770662	-33.84964957	-34.98914417	-36.63758299	-38.93751455	-40.89238916	-38.59640138	-37.00405672	-35.9144575	-35.27287928	-35.06189231	-35.29216908	-35.91198487	-37.00437201	-38.62128996	-40.92590569	-40.92326938	-39.26276221	-38.17864142	-37.55300464	-37.33310072	-37.54645164	-38.18852147	-39.2941514	-40.9502317	-41.86756985	-40.70124273	-40.03672972	-39.83225001	-40.0390549	-40.71408239	-41.89616434	-43.70752742	-42.97978189	-42.73635232	-42.99241107	-43.70803301
S22-5.1MHz(dB)	-22.41265707	-22.41992027	-22.42052855	-22.42173323	-22.42232623	-22.42389198	-22.42597059	-22.42605876	-22.4273603	-22.42775163	-22.42555207	-22.42581116	-22.42244301	-22.42499501	-22.42651396	-22.41706041	-22.41767184	-22.42555818	-22.4269464	-22.42462185	-22.4206368	-22.42009299	-22.42548444	-22.42583038	-22.4285138	-22.42106117	-22.41743738	-22.4250374	-22.42599136	-22.42646189	-22.42307538	-22.41911865	-22.411441	-22.42194833	-22.42490374	-22.42728025	-22.4287686	-22.42883517	-22.42823695	-22.42967525	-22.41774611	-22.42458989	-22.42233694	-22.42315555	-22.42638774	-22.42905139	-22.42795034	-22.42983008	-22.43052012	-22.43027179	-22.42927585	-22.42689718	-22.42589863	-22.42425581	-22.41809237	-22.41435493	-22.42642812	-22.42697246	-22.42959423	-22.42892245	-22.43006609	-22.43060813	-22.42963694	-22.42541129	-22.42303591	-22.421687	-22.41395975	-22.42536919	-22.42675295	-22.4183863	-22.41763044	-22.42883971	-22.4153598	-22.41359953	-22.41351386	-22.41993476	-22.42358514	-22.42608388	-22.4285557	-22.42810283	-22.41968299	-22.4270128	-22.42711511	-22.42657558	-22.42405522	-22.42353007	-22.41681686	-22.41518111	-22.42311222	-22.41689821	-22.42273681	-22.42447439	-22.42393491	-22.4235965	-22.42595032	-22.42472895	-22.41360591
S12-S52	-0.069976737	-0.092929356	-0.102827979	-0.092414756	-0.069313625	-0.03809743	-0.052433507	-0.064393679	-0.069119865	-0.064205901	-0.052160069	-0.037832183	-0.020071546	-0.028557774	-0.037073936	-0.043686255	-0.046191495	-0.043542202	-0.036921487	-0.028386009	-0.019921861	-0.009169026	-0.013742827	-0.018778454	-0.02358201	-0.027163598	-0.028432923	-0.027078903	-0.023518411	-0.018683804	-0.013648539	-0.009088716	-0.004718104	-0.006895941	-0.009221377	-0.011364687	-0.012895809	-0.013447869	-0.012859185	-0.011295764	-0.009145563	-0.006803625	-0.00463998	0.000116057	0.000167531	0.000207911	0.000244336	0.000280652	0.000305482	0.000298854	0.000289185	0.000254742	0.000219553	0.000172265	0.004971725	0.007225549	0.009643082	0.011880515	0.013479007	0.014082435	0.013497098	0.011892987	0.009662549	0.007251749	0.00497544	0.009400316	0.01411198	0.019242847	0.024137568	0.027781992	0.029148851	0.027748615	0.024198942	0.019306821	0.01413055	0.009415712	0.020405956	0.02902366	0.037645227	0.044319165	0.046947176	0.044375448	0.0376556	0.028989304	0.020384712	0.038577775	0.053190026	0.065411358	0.070229783	0.065403959	0.05315104	0.038569176	0.070500263	0.093845696	0.10404705	0.093785856	0.070641338
S12+S52	0.083186941	0.107274034	0.117574621	0.106755391	0.082474178	0.054372182	0.071042099	0.084461388	0.089687752	0.084265572	0.070757817	0.05409138	0.038241555	0.050520003	0.06196768	0.070520563	0.073713842	0.070341928	0.06182531	0.050335593	0.038080989	0.027382398	0.037401868	0.047267937	0.055893485	0.061995706	0.064075852	0.061868308	0.055853599	0.047172073	0.037315191	0.02727593	0.027704877	0.03676115	0.045308026	0.052417375	0.057232313	0.058900847	0.057178686	0.052340559	0.045224852	0.036610988	0.027521109	0.027681338	0.036442477	0.044593747	0.051381892	0.055839135	0.05738951	0.055783297	0.051276937	0.044534174	0.036352949	0.027596043	0.027767155	0.036831254	0.045379225	0.052586546	0.0573968	0.059123342	0.057364778	0.052494996	0.045272615	0.036706194	0.027577825	0.027447545	0.037619668	0.047480407	0.056149149	0.062247607	0.064461913	0.062137773	0.056219637	0.047543356	0.037570976	0.027393436	0.038389137	0.050795337	0.062311181	0.070827336	0.074135032	0.070903626	0.062293513	0.050682445	0.038312158	0.054708411	0.071638815	0.085326963	0.090619796	0.085314233	0.071572577	0.054646796	0.083551558	0.108037608	0.118642328	0.107957148	0.083691874
(S12-S52)/(S12+S52)	-0.841198582	-0.866280052	-0.874576313	-0.865668282	-0.840428204	-0.700678715	-0.738062463	-0.762403753	-0.770672289	-0.761947018	-0.737163343	-0.699412426	-0.524862175	-0.565276577	-0.598278576	-0.619482498	-0.626632578	-0.619007795	-0.597190489	-0.563935119	-0.523144523	-0.334851083	-0.367436916	-0.397276785	-0.421909812	-0.438152899	-0.44373851	-0.437686183	-0.421072433	-0.396077662	-0.365763612	-0.333213777	-0.170298674	-0.187587746	-0.203526351	-0.216811455	-0.225323913	-0.228313671	-0.22489473	-0.215812826	-0.202224284	-0.185835601	-0.168597146	0.004192604	0.004597142	0.004662335	0.004755299	0.005026089	0.005322965	0.005357414	0.005639672	0.005720152	0.006039471	0.006242369	0.179050586	0.196179828	0.212499919	0.225923081	0.234838991	0.238187389	0.235285455	0.226554689	0.213430316	0.197561993	0.180414515	0.342482941	0.375122389	0.405279749	0.429883064	0.446314216	0.452187183	0.446565975	0.430435756	0.406088737	0.376102826	0.343721468	0.531555468	0.571384336	0.604148824	0.625735308	0.633265744	0.625855841	0.604486694	0.571979203	0.532069019	0.705152533	0.742474959	0.766596577	0.774993836	0.766624233	0.742617379	0.705790242	0.843793511	0.868639153	0.876980851	0.868732251	0.844064479
