BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Tajima      Toyama      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2019/08/2915:43																																																																																																	
Meas. Finish Time	2019/08/2916:32																																																																																																	
Linear Scale Origin X(mm)	-99.334																																																																																																	
Linear Scale Origin Y(mm)	88.445																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-119.335	-109.338	-99.337	-89.336	-79.335	-129.336	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-139.338	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.337	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.337	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-139.338	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-129.337	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-119.336	-109.338	-99.337	-89.336	-79.335
Linear Scale Y (mm)		38.451	38.451	38.451	38.451	38.451	48.448	48.448	48.448	48.448	48.448	48.448	48.448	58.447	58.447	58.447	58.447	58.447	58.447	58.447	58.447	58.447	68.447	68.447	68.447	68.447	68.447	68.447	68.447	68.447	68.447	68.447	68.447	78.446	78.446	78.446	78.446	78.446	78.446	78.446	78.446	78.446	78.446	78.446	88.445	88.445	88.445	88.445	88.445	88.445	88.445	88.445	88.445	88.445	88.445	98.445	98.445	98.445	98.445	98.445	98.445	98.445	98.445	98.445	98.445	98.445	108.445	108.446	108.446	108.446	108.445	108.445	108.445	108.445	108.445	108.445	108.446	118.445	118.445	118.445	118.445	118.445	118.445	118.445	118.445	118.445	128.445	128.445	128.445	128.445	128.445	128.445	128.445	138.445	138.445	138.445	138.445	138.445
R(beam)[mm]		20.001	10.004	0.003	-9.998	-19.999	30.002	20.004	10.004	0.003	-9.998	-19.999	-30	40.004	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.997	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	20.002	10.004	0.003	-9.998	-19.999
Y(beam)[mm]		-49.994	-49.994	-49.994	-49.994	-49.994	-39.997	-39.997	-39.997	-39.997	-39.997	-39.997	-39.997	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-29.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-19.998	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	20	20.001	20.001	20.001	20	20	20	20	20	20	20.001	30	30	30	30	30	30	30	30	30	40	40	40	40	40	40	40	50	50	50	50	50
Net Ana Temperature[℃]		22.1843651	22.20391587	22.2119865	22.19414957	22.16905739	22.20139704	22.19763698	22.22640093	22.24846533	22.24902103	22.25420151	22.27235783	22.3028564	22.32661646	22.33705271	22.34074007	22.32905739	22.32051415	22.28462997	22.28738769	22.29703194	22.27599844	22.25110621	22.25528954	22.26743703	22.267933	22.27017398	22.2697585	22.27763698	22.28387951	22.30335497	22.33085952	22.3186523	22.28654635	22.27123345	22.24197611	22.23427162	22.23034277	22.24243313	22.24750714	22.27779018	22.28527136	22.28344586	22.27838484	22.27271098	22.27641392	22.29530252	22.28107505	22.26415476	22.26370813	22.24256297	22.25689172	22.26313685	22.25129317	22.27650221	22.28247988	22.28410802	22.30210595	22.31245131	22.29144118	22.30145157	22.32109842	22.31686315	22.29710984	22.24457543	22.26408985	22.24228252	22.26283563	22.24618281	22.23894053	22.25413139	22.27062841	22.26806024	22.24990392	22.2348429	22.23275773	22.25137886	22.26360945	22.25453908	22.25411841	22.24757206	22.21043106	22.20524279	22.17622176	22.17354453	22.17879252	22.19443521	22.20664762	22.2265905	22.19945728	22.18849909	22.19528175	22.15292132	22.13061542	22.11440924	22.11755129	22.11338354
BPM Temperature[℃]		20.20472605	20.18813295	20.19709166	20.21046481	20.27429239	20.28644508	20.27426642	20.28187484	20.29231368	20.31004934	20.32212412	20.31950143	20.29465074	20.30914048	20.31796936	20.31030901	20.30753051	20.3028564	20.32082576	20.28725006	20.27639574	20.31165931	20.32313685	20.32189042	20.30916645	20.28886004	20.29794858	20.29877954	20.28358868	20.28769151	20.30044144	20.29496235	20.32994028	20.32791483	20.32827837	20.31023111	20.28834069	20.30449234	20.30431057	20.30194755	20.30586861	20.3013503	20.30703713	20.28766554	20.29298883	20.29111919	20.30088289	20.30358348	20.2832511	20.25172682	20.23074526	20.27008569	20.3085692	20.31106206	20.27091665	20.24674111	20.22986237	20.21778759	20.2350039	20.23583485	20.23843158	20.269047	20.28966502	20.29332641	20.31402233	20.33824981	20.32074786	20.30779018	20.28896391	20.28462737	20.3040509	20.33731498	20.33850948	20.32903142	20.29935082	20.29467671	20.24269021	20.26894313	20.28288756	20.2788886	20.27216307	20.28231628	20.28618541	20.29389769	20.26948844	20.29787068	20.26961828	20.2719813	20.28597767	20.24803947	20.2086471	20.15767333	20.04596209	20.00755648	19.99657232	19.99885744	20.03064139
Frequency (Hz) / Data (dB)	850000	-49.3457019	-50.4692579	-51.9328409	-53.60832283	-55.5732561	-45.36801484	-46.53721154	-47.9244473	-49.5029505	-51.28021618	-53.26599485	-55.57742326	-41.38082706	-42.7366737	-44.31950945	-45.95550903	-47.68951349	-49.61150275	-51.69034499	-53.91355823	-56.53491696	-37.03249522	-38.88816263	-40.81943099	-42.70525034	-44.5561146	-46.46286006	-48.45752767	-50.61046301	-52.84328211	-55.32649425	-58.33052453	-34.65309648	-37.24380942	-39.56517318	-41.74329205	-43.80388589	-45.79069097	-47.81198182	-49.95946448	-52.15511042	-54.6816287	-57.62033235	-33.84170492	-36.68163784	-39.15012328	-41.38260088	-43.50265896	-45.55445505	-47.60619863	-49.7359411	-51.9690943	-54.4824778	-57.37585144	-34.60842365	-37.18265088	-39.53728054	-41.69299407	-43.77600387	-45.7743574	-47.8393376	-49.94620125	-52.198431	-54.66483515	-57.65471222	-36.9806495	-38.78338379	-40.75293321	-42.67728595	-44.55545278	-46.44667821	-48.47616698	-50.50568548	-52.81301411	-55.31824662	-58.33172684	-41.34158223	-42.70135654	-44.26923974	-45.95462693	-47.6898876	-49.62117518	-51.63892088	-53.84827479	-56.4998718	-45.32202657	-46.43595005	-47.84172528	-49.45695182	-51.23161001	-53.22949422	-55.56880814	-49.37501882	-50.46589297	-51.89120184	-53.5335775	-55.45301203
	1700000	-43.55703178	-44.63180294	-45.97708965	-47.64865461	-49.67769376	-39.5411784	-40.68219148	-42.07112319	-43.66127534	-45.43230926	-47.4330717	-49.73392708	-35.56038911	-36.91904832	-38.47410449	-40.1187028	-41.87978963	-43.77821336	-45.83735657	-48.0881996	-50.66551232	-31.2165631	-33.06059713	-34.96319706	-36.87593424	-38.74529869	-40.65535344	-42.64589751	-44.74646581	-46.99774125	-49.51046126	-52.47562569	-28.84306159	-31.41610219	-33.73031035	-35.88287685	-37.94393999	-39.96923483	-41.99558865	-44.11998321	-46.33187727	-48.84484195	-51.77865697	-28.01515412	-30.8538946	-33.31497737	-35.55012774	-37.66913648	-39.73126603	-41.789558	-43.91016434	-46.14402484	-48.62423341	-51.53647561	-28.80084625	-31.37949863	-33.71877085	-35.87177817	-37.93632368	-39.95821066	-42.00352885	-44.10672382	-46.37152336	-48.84043583	-51.74338732	-31.16065617	-32.99029613	-34.93519672	-36.84766376	-38.73599196	-40.64536031	-42.66434659	-44.70585725	-46.93691866	-49.47265084	-52.48021728	-35.51378216	-36.87881277	-38.4435314	-40.12798012	-41.87901518	-43.77271891	-45.8257835	-48.06546592	-50.65901479	-39.51605055	-40.62734059	-42.01281518	-43.62763122	-45.38558004	-47.4081865	-49.70981043	-43.56572987	-44.61072432	-46.01191877	-47.67289098	-49.62912574
	2550000	-40.24908298	-41.32636537	-42.69825274	-44.37640306	-46.37069001	-36.22959046	-37.36401178	-38.75632765	-40.34410482	-42.11987481	-44.11804788	-46.41338433	-32.23359183	-33.59172765	-35.14296093	-36.79857292	-38.55878814	-40.46801022	-42.51390344	-44.77412898	-47.35732956	-27.88571623	-29.7267928	-31.63799405	-33.54446461	-35.41404419	-37.3429266	-39.32836564	-41.41603975	-43.67162916	-46.18836658	-49.17127775	-25.51196068	-28.0794433	-30.39360398	-32.55345647	-34.61489185	-36.63891197	-38.67752688	-40.79605439	-43.01912478	-45.53040877	-48.44196753	-24.67157446	-27.51431838	-29.97924911	-32.2144401	-34.33557464	-36.39425826	-38.45979722	-40.57981903	-42.82924357	-45.31332941	-48.21525669	-25.47090335	-28.04807618	-30.38298082	-32.53906062	-34.60598817	-36.62925027	-38.67523223	-40.78357439	-43.0413052	-45.5233091	-48.44253152	-27.8302418	-29.66389015	-31.60473441	-33.51557088	-35.40879068	-37.32748519	-39.32820285	-41.38676898	-43.6360945	-46.15654127	-49.16768137	-32.18581532	-33.55176822	-35.11998761	-36.80226303	-38.55678506	-40.4565603	-42.50068979	-44.75122101	-47.35571629	-36.19038178	-37.3099815	-38.70201749	-40.30482907	-42.06947837	-44.08615908	-46.39624087	-40.2396294	-41.30395373	-42.69642767	-44.37080806	-46.34024313
	3400000	-37.91886382	-38.99168276	-40.38181382	-42.05470446	-44.05779543	-33.89725044	-35.02799695	-36.4191233	-38.00583406	-39.78223487	-41.78386064	-44.09101805	-29.89664372	-31.25129704	-32.80693096	-34.4628895	-36.22531857	-38.13180574	-40.16917772	-42.42925589	-45.0201936	-25.54383124	-27.38540829	-29.29545395	-31.19895807	-33.07901789	-35.00526996	-36.99283891	-39.0747773	-41.33561723	-43.86146471	-46.85792757	-23.16939244	-25.73192028	-28.04834292	-30.211424	-32.27431318	-34.2997483	-36.34159365	-38.45344806	-40.68846075	-43.20682775	-46.11497794	-22.32755057	-25.16778347	-27.63475803	-29.87039855	-31.99177789	-34.05339938	-36.11781881	-38.24148237	-40.49244648	-42.98672356	-45.88355977	-23.12915883	-25.7052499	-28.03753643	-30.19354565	-32.26519382	-34.28450527	-36.33363852	-38.45303402	-40.70679067	-43.19558791	-46.12002696	-25.48817059	-27.32270725	-29.25951618	-31.17065546	-33.06791533	-34.99211082	-36.99140624	-39.05557844	-41.30664635	-43.8369273	-46.85108113	-29.84714997	-31.20885922	-32.7780255	-34.45892016	-36.21965823	-38.11965733	-40.16267683	-42.42748814	-45.01425123	-33.85695325	-34.97613143	-36.36828715	-37.97042263	-39.74387731	-41.75916524	-44.06540486	-37.90493471	-38.97653978	-40.36976003	-42.04611749	-44.02524674
