BPM Serial No.	16elec																																																																																																	
BPM Size	110																																																																																																	
"Experi,menter"	Tajima      Toyama      Hanamura      Kawachi      																																																																																																	
Meas. Start Time	2019/08/2918:29																																																																																																	
Meas. Finish Time	2019/08/2919:17																																																																																																	
Linear Scale Origin X(mm)	-99.334																																																																																																	
Linear Scale Origin Y(mm)	88.445																																																																																																	
note																																																																																																		
																																																																																																		
																																																																																																		
Data Point Number		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
Linear Scale X (mm)		-119.335	-109.338	-99.336	-89.336	-79.335	-129.337	-119.338	-109.338	-99.336	-89.336	-79.335	-69.334	-139.338	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-149.339	-139.341	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-149.339	-139.341	-129.339	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-49.332	-139.338	-129.339	-119.339	-109.338	-99.337	-89.336	-79.335	-69.334	-59.333	-129.337	-119.338	-109.338	-99.337	-89.336	-79.335	-69.334	-119.336	-109.338	-99.337	-89.336	-79.335
Linear Scale Y (mm)		38.448	38.448	38.448	38.448	38.448	48.444	48.444	48.444	48.444	48.444	48.444	48.444	58.444	58.444	58.444	58.444	58.444	58.444	58.444	58.444	58.444	68.443	68.443	68.443	68.443	68.443	68.443	68.443	68.443	68.443	68.443	68.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	78.443	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	88.442	98.442	98.442	98.442	98.442	98.442	98.442	98.442	98.442	98.442	98.442	98.442	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	108.443	118.442	118.442	118.442	118.442	118.442	118.442	118.442	118.442	118.442	128.442	128.442	128.442	128.442	128.442	128.442	128.442	138.442	138.442	138.442	138.442	138.442
R(beam)[mm]		20.001	10.004	0.002	-9.998	-19.999	30.003	20.004	10.004	0.002	-9.998	-19.999	-30	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	20.002	10.004	0.003	-9.998	-19.999
Y(beam)[mm]		-49.997	-49.997	-49.997	-49.997	-49.997	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	39.997	39.997	39.997	39.997	39.997	39.997	39.997	49.997	49.997	49.997	49.997	49.997
Net Ana Temperature[℃]		22.30299403	22.29779797	22.31569462	22.35359647	22.3563464	22.39449494	22.40221761	22.42107245	22.42324851	22.42756167	22.44691509	22.46235523	22.45488185	22.43181511	22.40169047	22.40147754	22.38344326	22.38426642	22.40855362	22.42736172	22.41201506	22.39949364	22.38443521	22.36776422	22.3632511	22.3812672	22.3992054	22.39608413	22.40418852	22.3796832	22.37913529	22.39176058	22.41925993	22.41888341	22.38360945	22.3633342	22.35538042	22.38004934	22.36783433	22.39179174	22.38347702	22.40754869	22.41136069	22.41684498	22.4338068	22.42712023	22.43115035	22.44795118	22.4394469	22.44135549	22.4479356	22.42539081	22.40486887	22.41169566	22.47165931	22.48307453	22.48794599	22.46806284	22.47298883	22.44920021	22.42491301	22.41530252	22.4250039	22.42291093	22.41224098	22.47256037	22.47388471	22.47329005	22.47080499	22.4748377	22.4814282	22.48210075	22.48917164	22.47226694	22.44477538	22.44618541	22.48037393	22.49520384	22.47284601	22.46625292	22.4950818	22.49768632	22.51417294	22.50036614	22.4905531	22.50016359	22.47225136	22.48205142	22.48946767	22.45434173	22.42746819	22.42883147	22.44981304	22.44609712	22.43212932	22.41875617	22.43922098
BPM Temperature[℃]		20.45964684	20.45580369	20.46655414	20.45310309	20.42038432	20.43316022	20.42435731	20.43837964	20.45403791	20.47265645	20.45684238	20.4224617	20.48254999	20.48418593	20.46800831	20.46650221	20.46302259	20.45956894	20.44655934	20.45741366	20.45427162	20.4308751	20.44707868	20.45172682	20.45481693	20.45588159	20.46232147	20.46865749	20.45585562	20.42209816	20.43913269	20.45512854	20.46787847	20.47969359	20.47995326	20.47930408	20.48641911	20.50018177	20.48860036	20.47109842	20.47029343	20.46852766	20.48717216	20.45377824	20.45956894	20.45001298	20.45138925	20.43627629	20.44723448	20.48288756	20.51243833	20.50724487	20.5212672	20.49527395	20.47974552	20.4913529	20.47185147	20.47005972	20.48556219	20.50373929	20.52326668	20.53819787	20.54450792	20.53025188	20.53412101	20.55707608	20.57229291	20.58405609	20.55463516	20.52575954	20.5226175	20.50498572	20.51625552	20.51950143	20.51186705	20.51487925	20.47727863	20.48680862	20.4789665	20.50309011	20.53632823	20.53126461	20.52347442	20.5323812	20.55437549	20.57156583	20.55686835	20.54437808	20.5268242	20.50763438	20.48057647	20.50688133	20.48805505	20.48501688	20.48525058	20.48299143	20.47392885
Frequency (Hz) / Data (dB)	850000	-53.03478946	-50.62953743	-48.44941115	-46.35539422	-44.37078144	-53.68195845	-51.15429827	-48.79135249	-46.57409022	-44.37366836	-42.11865637	-39.78477953	-55.26547465	-52.48149557	-50.00533637	-47.68703693	-45.47175204	-43.23198157	-40.91140312	-38.41853306	-35.63566907	-57.45679645	-54.38967554	-51.78697223	-49.44703104	-47.19767611	-45.01242153	-42.83254143	-40.59067216	-38.21946741	-35.57816555	-32.67144039	-57.12868621	-54.16046823	-51.62291701	-49.30095975	-47.17780993	-45.10070625	-43.0605526	-40.96481588	-38.92225277	-36.8197554	-34.78682032	-57.18070185	-54.33661582	-51.89929265	-49.62338774	-47.62026769	-45.68191846	-43.83193843	-42.02333915	-40.31982286	-38.74277933	-37.60419141	-57.7676983	-54.91789999	-52.52066501	-50.40210802	-48.42638827	-46.68086015	-45.0093952	-43.49577845	-42.19131904	-41.18841252	-40.72314866	-58.84153432	-55.94499403	-53.55494189	-51.47853444	-49.66714705	-48.05684893	-46.58673562	-45.35542362	-44.42086061	-43.8285041	-43.97071371	-57.3802724	-55.01538157	-52.97080588	-51.22101383	-49.76211442	-48.47331108	-47.54169199	-46.93935073	-46.86356293	-56.89821161	-54.84840282	-53.29123975	-51.89655923	-50.82540375	-50.14527043	-49.83203691	-57.4587015	-55.84231058	-54.53990729	-53.6738799	-53.21902595
	1700000	-47.17149223	-44.77624013	-42.54470832	-40.51021866	-38.53615991	-47.82427854	-45.29624973	-42.94338615	-40.71520746	-38.52067786	-36.29054253	-33.95957724	-49.35636928	-46.6170248	-44.14971919	-41.82873432	-39.62276793	-37.39199255	-35.07926845	-32.58133185	-29.79015211	-51.60035156	-48.53989128	-45.93813334	-43.57737003	-41.34033306	-39.17324853	-36.99561118	-34.75107707	-32.37468884	-29.74874119	-26.84318011	-51.2220729	-48.28742468	-45.77293037	-43.4540758	-41.30356844	-39.25754072	-37.22362084	-35.14319775	-33.07410064	-30.97095594	-28.94612899	-51.26604008	-48.46284057	-46.00406973	-43.78110843	-41.75628972	-39.83710348	-37.97697594	-36.18387999	-34.47113683	-32.90827092	-31.77422729	-51.85799291	-49.04641942	-46.64896981	-44.53486435	-42.57193479	-40.81900674	-39.16274483	-37.65777355	-36.33842019	-35.33689607	-34.90282451	-52.9039984	-50.03807295	-47.6741836	-45.6195156	-43.80079618	-42.18293016	-40.74891419	-39.51169106	-38.56738358	-38.0054449	-38.15245604	-51.51252759	-49.12051268	-47.12123464	-45.34888196	-43.89958883	-42.6353222	-41.69253743	-41.09125594	-41.00120337	-50.99802318	-49.00441644	-47.36640633	-46.01301668	-44.97997093	-44.29054523	-43.98564609	-51.55708341	-49.90239599	-48.63346111	-47.79761044	-47.37179989
	2550000	-43.85806184	-41.46386986	-39.23954442	-37.19461162	-35.22022138	-44.52189588	-41.97195242	-39.61820485	-37.39568265	-35.19722151	-32.96771027	-30.63523501	-46.04780694	-43.29598607	-40.8305664	-38.5123819	-36.29380471	-34.06498018	-31.75083602	-29.25428188	-26.46206198	-48.29050972	-45.23125634	-42.62316365	-40.25159046	-38.02062538	-35.84739239	-33.66960882	-31.42302312	-29.04338855	-26.42314756	-23.51551104	-47.90834567	-44.96914476	-42.44454201	-40.13575587	-37.98583591	-35.93535012	-33.89446836	-31.81654264	-29.74769001	-27.64028969	-25.61285106	-47.96890062	-45.13575974	-42.68955443	-40.46541623	-38.44064471	-36.51046954	-34.65061435	-32.85598382	-31.14622501	-29.58658035	-28.45001749	-48.55095609	-45.72323623	-43.33300394	-41.20633536	-39.26097516	-37.49318233	-35.83528558	-34.32795479	-33.01648753	-32.01539281	-31.58162695	-49.59778905	-46.72979924	-44.34913428	-42.30033057	-40.48014517	-38.85798825	-37.41870546	-36.18931396	-35.24620699	-34.69176405	-34.84143935	-48.18823995	-45.78835751	-43.78841024	-42.04406463	-40.57553196	-39.32510642	-38.37337497	-37.77464429	-37.68795284	-47.71209698	-45.69167753	-44.0549124	-42.70131087	-41.67024952	-40.97088121	-40.68170291	-48.24210691	-46.60779309	-45.33938964	-44.48565639	-44.05665946
	3400000	-41.53579928	-39.13420149	-36.91734655	-34.86245396	-32.88972218	-42.19493793	-39.64053795	-37.28446822	-35.0566571	-32.86113312	-30.63200306	-28.30023344	-43.7185896	-40.95693397	-38.49855019	-36.17850476	-33.95718305	-31.72532958	-29.41070329	-26.91385402	-24.12098005	-45.96624312	-42.90087846	-40.28406744	-37.91423021	-35.68407406	-33.50890177	-31.32815589	-29.08099495	-26.70095798	-24.08325809	-21.17547879	-45.58626335	-42.63929879	-40.11309602	-37.80062997	-35.65274355	-33.59159399	-31.55250988	-29.47875504	-27.4038133	-25.2979957	-23.27285342	-45.64669554	-42.80786139	-40.35144411	-38.13544923	-36.10181014	-34.17037431	-32.30934943	-30.511353	-28.80549071	-27.24930428	-26.11081661	-46.22796903	-43.38798849	-40.99623314	-38.86912827	-36.92403469	-35.15271842	-33.49467562	-31.988684	-30.67625648	-29.67840868	-29.24583184	-47.27323326	-44.39830554	-42.02585813	-39.96161112	-38.14615027	-36.52245473	-35.08381947	-33.85071001	-32.90835583	-32.35966	-32.51595857	-45.85941663	-43.46677746	-41.45490589	-39.7102492	-38.24474465	-36.98989725	-36.04124719	-35.44377193	-35.36063027	-45.36534388	-43.36227663	-41.72646375	-40.37482479	-39.3336367	-38.64067121	-38.35795985	-45.92494846	-44.28550344	-43.01796832	-42.16845182	-41.73925157
