BPM Serial No.	16elec																																																																																																
BPM Size	110																																																																																																
"Experi,menter"	Tajima      Toyama      Hanamura      Kawachi      																																																																																																
Meas. Start Time	2019/08/2918:29																																																																																																
Meas. Finish Time	2019/08/2919:17																																																																																																
Linear Scale Origin X(mm)	-99.334																																																																																																
Linear Scale Origin Y(mm)	88.445																																																																																																
note																																																																																																	
																																																																																																	
																																																																																																	
Data Point Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97
R(beam)[mm]	20.001	10.004	0.002	-9.998	-19.999	30.003	20.004	10.004	0.002	-9.998	-19.999	-30	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	50.005	40.007	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	50.005	40.007	30.005	20.004	10.004	0.003	-9.998	-19.999	-30	-40.001	-50.002	40.004	30.005	20.005	10.004	0.003	-9.998	-19.999	-30	-40.001	30.003	20.004	10.004	0.003	-9.998	-19.999	-30	20.002	10.004	0.003	-9.998	-19.999
Y(beam)[mm]	-49.997	-49.997	-49.997	-49.997	-49.997	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-40.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-30.001	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-20.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-10.002	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	-0.003	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	9.997	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	19.998	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	29.997	39.997	39.997	39.997	39.997	39.997	39.997	39.997	49.997	49.997	49.997	49.997	49.997
S32-5.1MHz(dB)	-17.93129245	-20.01834783	-22.85092978	-25.98575394	-29.28538996	-20.83583859	-20.8029317	-22.02173431	-23.99608959	-26.41152694	-29.11963628	-32.10848161	-25.01825462	-23.64232097	-23.42334402	-24.12650649	-25.529254	-27.40743215	-29.61967099	-32.18765939	-35.12911961	-29.60163871	-27.33729755	-26.12617294	-25.80100552	-26.22343254	-27.24107136	-28.72389095	-30.58407024	-32.79370293	-35.37526723	-38.48207013	-31.56932999	-29.57733079	-28.44473299	-28.0386055	-28.26970829	-29.03183797	-30.23157623	-31.8012487	-33.74870198	-36.06323375	-38.92491041	-33.64765935	-31.77697603	-30.68221072	-30.21710148	-30.32278917	-30.89917007	-31.89037268	-33.2522895	-34.98898336	-37.11803386	-39.78349245	-35.85463561	-34.02046284	-32.91831509	-32.40674947	-32.39261293	-32.81312397	-33.66663962	-34.8786577	-36.47185952	-38.48536965	-41.04469097	-38.26946347	-36.38090834	-35.20088888	-34.64406615	-34.55507434	-34.88532192	-35.60994659	-36.71034317	-38.20272313	-40.13821909	-42.68372934	-38.94691237	-37.69273975	-37.03342271	-36.842523	-37.0949281	-37.70265441	-38.7363168	-40.21190975	-42.14957837	-40.45653618	-39.65574942	-39.36282306	-39.55381839	-40.14321769	-41.13344885	-42.61594062	-42.75334315	-42.34881759	-42.40967861	-42.96678408	-44.0405321
S42-5.1MHz(dB)	-43.97407834	-42.93743758	-42.36827415	-42.2930695	-42.71315686	-42.54713031	-41.06595673	-40.07878376	-39.50031069	-39.33718319	-39.62379302	-40.42394148	-42.09581761	-40.1477531	-38.70191376	-37.66898149	-37.03456974	-36.7951301	-36.95956068	-37.64316056	-38.91008253	-42.59215522	-40.05878878	-38.12365486	-36.63892688	-35.54453688	-34.82804077	-34.49885285	-34.59705494	-35.17982647	-36.3271144	-38.21658292	-40.93317329	-38.39449214	-36.39664636	-34.8039746	-33.59574631	-32.77489831	-32.34396874	-32.34442326	-32.86859446	-33.95837238	-35.82385681	-39.69585987	-37.04690132	-34.91623404	-33.17189644	-31.81927838	-30.83934804	-30.27076609	-30.17785723	-30.63872206	-31.73189608	-33.62118863	-38.84130069	-36.00559967	-33.67955616	-31.74433828	-30.16066208	-28.95090509	-28.21622979	-27.99460263	-28.40384592	-29.54507902	-31.55793979	-38.40585646	-35.30743255	-32.69192706	-30.51310639	-28.65828938	-27.18084965	-26.16664808	-25.75200938	-26.08764214	-27.30317592	-29.57176275	-35.03782811	-32.11537884	-29.56737717	-27.3296526	-25.46342808	-24.04229787	-23.33834061	-23.59012125	-24.95799949	-32.01642919	-29.02821533	-26.31299049	-23.92305744	-21.96259639	-20.74623328	-20.78804599	-29.20133638	-25.91016006	-22.75286481	-19.91561668	-17.86433836
S12-5.1MHz(dB)	-38.4008897	-38.83254831	-39.68625625	-40.94804532	-42.59274204	-35.01754029	-35.26329995	-35.98264263	-37.03409521	-38.38729152	-40.05161185	-42.07884145	-32.01267113	-32.09733438	-32.70052687	-33.64897537	-34.894587	-36.37621083	-38.08156365	-40.12212787	-42.54218512	-29.17629996	-29.01102641	-29.54235829	-30.48984306	-31.72201035	-33.16660927	-34.79527759	-36.61834466	-38.68193722	-41.05290593	-43.93162024	-25.86619191	-26.31376716	-27.31559246	-28.62372342	-30.13483864	-31.79578507	-33.58622318	-35.50977933	-37.64488015	-40.03556149	-42.90823643	-22.75429539	-23.90295406	-25.4446285	-27.14213518	-28.94647036	-30.81421468	-32.75129969	-34.80051303	-37.01266092	-39.46643923	-42.34730867	-19.93051899	-21.94526602	-24.05257611	-26.14026695	-28.18862938	-30.21363677	-32.31141913	-34.46787435	-36.77184238	-39.31511025	-42.27039135	-17.85578306	-20.74959358	-23.31526546	-25.71911893	-27.96944417	-30.15167386	-32.32865972	-34.56986358	-36.95648358	-39.58242075	-42.67433086	-20.7698169	-23.56668296	-26.05502747	-28.35990414	-30.60475338	-32.80426277	-35.11500538	-37.61224309	-40.35889966	-24.93627995	-27.26333421	-29.47645728	-31.70316122	-33.94681776	-36.27866477	-38.8693666	-29.54181322	-31.52117919	-33.55687271	-35.75672523	-38.19629144
S52-5.1MHz(dB)	-38.27186139	-35.87032552	-33.66089334	-31.59910401	-29.62643413	-38.94063339	-36.35633335	-34.01389721	-31.78332616	-29.58623471	-27.35570744	-25.02706777	-40.45464608	-37.68844874	-35.22178254	-32.90664461	-30.6778391	-28.44426654	-26.10833736	-23.63628167	-20.84437308	-42.72747022	-39.64196576	-37.01642791	-34.63713832	-32.39912462	-30.22349939	-28.04368286	-25.79683745	-23.4160588	-20.80841273	-17.90490018	-42.30010737	-39.36821069	-36.83258272	-34.52767043	-32.37901901	-30.31121677	-28.26867122	-26.20246725	-24.12205702	-21.99534885	-19.99754373	-42.40355805	-39.53236228	-37.07553727	-34.85661927	-32.8207197	-30.88735984	-29.02483686	-27.22736603	-25.52032811	-23.97479396	-22.83821052	-42.96363795	-40.12358443	-37.71646142	-35.59076536	-33.6488486	-31.84974756	-30.21390745	-28.7076741	-27.39608118	-26.40091606	-25.97558604	-44.01333444	-41.13577528	-38.72517073	-36.68377176	-34.86455703	-33.23877681	-31.79849101	-30.57087731	-29.63049137	-29.10082353	-29.26181954	-42.60711363	-40.19500072	-38.18141242	-36.44203199	-34.96919115	-33.7027566	-32.74530376	-32.17300675	-32.06853329	-42.13573771	-40.10641803	-38.42993235	-37.10745199	-36.06459759	-35.34335454	-35.10160048	-42.66739328	-41.02110493	-39.74340266	-38.8783106	-38.47906475
S22-5.1MHz(dB)	-22.42587853	-22.42804049	-22.42536181	-22.42755825	-22.42760567	-22.42574843	-22.42102741	-22.42977053	-22.42976877	-22.43218618	-22.43047417	-22.42947641	-22.42909224	-22.43172273	-22.43338148	-22.42799389	-22.4309511	-22.43137328	-22.42436642	-22.43150576	-22.42927531	-22.42373939	-22.42742118	-22.43244077	-22.43506568	-22.43456486	-22.43703082	-22.43488221	-22.43416358	-22.43362205	-22.42878255	-22.42487389	-22.42112033	-22.42988599	-22.43554265	-22.43396479	-22.43287663	-22.43619238	-22.43657103	-22.43238318	-22.43402939	-22.42417608	-22.42958761	-22.4261465	-22.43188272	-22.43315277	-22.43410044	-22.43735559	-22.43842468	-22.43795227	-22.43700937	-22.43492465	-22.43145769	-22.43032576	-22.42868872	-22.4316082	-22.43409345	-22.43524202	-22.43229633	-22.42816982	-22.43309189	-22.43330174	-22.4319715	-22.42994475	-22.42865246	-22.4275838	-22.43141999	-22.42759654	-22.43460046	-22.43536625	-22.43654166	-22.43604317	-22.43454716	-22.43345439	-22.42798672	-22.42419719	-22.43107779	-22.43365145	-22.43455768	-22.43299845	-22.43433443	-22.42382947	-22.42351336	-22.43019912	-22.42276603	-22.42794102	-22.42756046	-22.42424978	-22.43143428	-22.4314283	-22.42450537	-22.42541275	-22.4292099	-22.42977796	-22.41902129	-22.42165671	-22.42599288
S12-S52	-0.00017991	-0.004648728	-0.010379187	-0.017339414	-0.025593191	0.006449784	0.002039928	-0.00404009	-0.011683311	-0.021125383	-0.03293528	-0.048187656	0.015592215	0.011789943	0.005838059	-0.001853638	-0.011248876	-0.022648551	-0.037025895	-0.055933564	-0.083273749	0.027463318	0.02501551	0.019234905	0.011347333	0.001945043	-0.008857579	-0.0214041	-0.036544937	-0.055844752	-0.082254406	-0.120919042	0.043223271	0.037586075	0.028674236	0.018275606	0.007089316	-0.004793352	-0.017672019	-0.032194822	-0.049100664	-0.069516228	-0.092873636	0.065243125	0.053251501	0.039424892	0.025864581	0.012846585	0.000241453	-0.012342544	-0.025318336	-0.038859543	-0.052645557	-0.064493673	0.093693981	0.070076223	0.049707973	0.032702342	0.018179686	0.005297313	-0.006619294	-0.017789506	-0.028175871	-0.037037532	-0.042559976	0.121700364	0.082957611	0.056690195	0.037116818	0.02188875	0.009295205	-0.001522259	-0.010925618	-0.018800753	-0.024579362	-0.027077846	0.084111521	0.05654526	0.037473168	0.023132302	0.011649964	0.002250189	-0.005504498	-0.011459494	-0.01532623	0.048828071	0.033456221	0.021606173	0.012040425	0.004343665	-0.001745021	-0.006185789	0.025979874	0.017651572	0.010697132	0.004920619	0.000394239
S12+S52	0.024222736	0.027525913	0.031114815	0.035271373	0.04043179	0.029044055	0.032463719	0.03580136	0.039823385	0.045205879	0.052816792	0.063930671	0.03457228	0.037887963	0.040507023	0.043404613	0.047248723	0.053002797	0.061969075	0.075654322	0.098198969	0.042073529	0.045857141	0.047432275	0.04843018	0.049926537	0.052781342	0.057817909	0.066064693	0.07912208	0.099971182	0.133637925	0.058570311	0.059095037	0.057474791	0.055828765	0.055182003	0.05622622	0.059524272	0.065733121	0.075329921	0.089434512	0.107182929	0.080408463	0.07435779	0.067431024	0.062022135	0.058554774	0.057344858	0.058417509	0.061710203	0.067069144	0.073912645	0.079757539	0.107912295	0.089793674	0.07572196	0.065929388	0.059731269	0.056411637	0.055087733	0.055602083	0.057178534	0.058678391	0.057959611	0.134300153	0.100506161	0.07985195	0.06641505	0.058013275	0.052855535	0.049894589	0.048296799	0.047193395	0.045564362	0.041777715	0.098925589	0.076101256	0.062131255	0.053257395	0.047341928	0.043544684	0.040602284	0.037787492	0.034516673	0.0644683	0.053212679	0.045568743	0.039943843	0.035806664	0.032442079	0.028966206	0.040691489	0.035433332	0.031296783	0.02767759	0.024221644
(S12-S52)/(S12+S52)	-0.00742733	-0.168885531	-0.333577027	-0.491600203	-0.63299674	0.222069006	0.062837159	-0.112847383	-0.293378145	-0.467314956	-0.623575932	-0.753748627	0.451003375	0.311179116	0.144124604	-0.042706003	-0.238077894	-0.427308594	-0.597489882	-0.739330717	-0.84801042	0.652745772	0.54550958	0.405523559	0.234302917	0.038958103	-0.167816486	-0.37019844	-0.553168954	-0.705804899	-0.822781167	-0.904825794	0.737972367	0.636027602	0.498901086	0.327351072	0.128471519	-0.085251187	-0.296887618	-0.489780825	-0.651808252	-0.777286378	-0.866496531	0.811396247	0.71615228	0.584669928	0.417021788	0.219394327	0.004210549	-0.211281593	-0.410277951	-0.579395239	-0.712267256	-0.808621645	0.868241946	0.780413805	0.656453857	0.496020715	0.304357948	0.093904619	-0.120159122	-0.319943156	-0.492770081	-0.631195435	-0.73430403	0.906181871	0.825398267	0.709941276	0.558861557	0.377305886	0.175860584	-0.030509493	-0.226218272	-0.398376776	-0.539442702	-0.648140911	0.8502504	0.743026623	0.603129104	0.434349109	0.246081328	0.051675392	-0.135571131	-0.303261563	-0.444023955	0.757396595	0.628726486	0.474144605	0.301433826	0.121308843	-0.05378882	-0.213551921	0.638459668	0.498162912	0.341796531	0.177783489	0.016276303
S32-S42	0.1205639	0.092658352	0.064406531	0.042521252	0.027017329	0.083367195	0.082325218	0.069324604	0.052531988	0.037006566	0.024553341	0.015283457	0.048259934	0.055916881	0.055814911	0.049105141	0.038840675	0.028158963	0.018846913	0.011464764	0.006183459	0.025687065	0.033034464	0.036984652	0.036555257	0.032143749	0.025307306	0.017788367	0.01093908	0.005506874	0.001767709	-0.000369641	0.017414375	0.021169376	0.022682185	0.021445482	0.017690342	0.012376544	0.006647241	0.001557952	-0.002190155	-0.004314507	-0.004856014	0.010422279	0.011722875	0.011278963	0.008893653	0.004822193	-0.000197054	-0.005214297	-0.009235528	-0.011575456	-0.011971566	-0.01058966	0.004689335	0.004066955	0.00189627	-0.001899509	-0.00703449	-0.012808368	-0.018098608	-0.021802499	-0.022991199	-0.021418092	-0.017563586	0.000190151	-0.001995473	-0.005819265	-0.011282172	-0.018187594	-0.025728797	-0.032589433	-0.036965914	-0.037316728	-0.033294004	-0.02587895	-0.006416545	-0.01174484	-0.019166587	-0.028621036	-0.039340605	-0.049761537	-0.056523917	-0.056385549	-0.048699047	-0.01558343	-0.024961976	-0.037583725	-0.053130033	-0.069939152	-0.082990755	-0.083927176	-0.027384973	-0.043009194	-0.065260462	-0.093869651	-0.121594046
S32+S42	0.133220763	0.106919619	0.079633599	0.057880733	0.041651636	0.09828392	0.100015395	0.089144018	0.073716305	0.0585925	0.045438623	0.034330735	0.063972211	0.075579544	0.079038766	0.075261719	0.066979212	0.057083971	0.047229498	0.037699215	0.028857341	0.040526666	0.052899554	0.061807251	0.066005146	0.065548109	0.061584021	0.055466325	0.048193453	0.040343708	0.032294016	0.024188803	0.035377063	0.045229917	0.0529651	0.05782285	0.059496733	0.058326498	0.054934389	0.049842574	0.043266793	0.035782447	0.027491221	0.031134993	0.039821491	0.047189202	0.052790687	0.056116135	0.057222868	0.05609011	0.052728143	0.047186182	0.03984101	0.031094453	0.027543479	0.03574439	0.043301212	0.049838901	0.055051969	0.058556545	0.059565169	0.057868427	0.05301302	0.045228208	0.035297126	0.024219233	0.032333307	0.040571725	0.048335454	0.05562246	0.061767064	0.065743183	0.066174655	0.061914391	0.052978261	0.040562922	0.028994488	0.03782997	0.04730884	0.05738865	0.067284284	0.075816909	0.079655969	0.075903512	0.064314374	0.034559365	0.04577056	0.059106033	0.074184249	0.089612085	0.100544006	0.098726197	0.041951729	0.058270409	0.080415118	0.108082816	0.134154444
(S32-S42)/(S32+S42)	0.904993316	0.866616929	0.808785887	0.734635697	0.648649891	0.848228225	0.823125467	0.777669726	0.712623731	0.631592206	0.540362788	0.445182916	0.754389033	0.739841469	0.706171339	0.652458407	0.579891495	0.493290188	0.399049601	0.304111493	0.214276828	0.633831184	0.62447527	0.598386941	0.553824358	0.490384081	0.410939481	0.320705714	0.22698271	0.136498959	0.05473796	-0.015281483	0.492250444	0.468039241	0.428247752	0.370882489	0.297332993	0.212194188	0.121003276	0.031257455	-0.050619759	-0.120576074	-0.176638702	0.334744868	0.294385628	0.239015758	0.168470116	0.085932383	-0.003443619	-0.092962855	-0.175153669	-0.245314528	-0.300483506	-0.340564296	0.170252085	0.113778833	0.043792531	-0.038112983	-0.127779088	-0.218735032	-0.303845494	-0.376759835	-0.433689677	-0.47355606	-0.497592514	0.00785125	-0.061715699	-0.143431543	-0.233413998	-0.326982921	-0.416545575	-0.495708163	-0.558611363	-0.602714938	-0.628446514	-0.637995223	-0.221302223	-0.310463892	-0.405137543	-0.498722936	-0.584692328	-0.656338245	-0.709600521	-0.742858226	-0.757203159	-0.450917714	-0.545371875	-0.635869521	-0.71619021	-0.780465627	-0.825417235	-0.850100371	-0.652773408	-0.738096654	-0.811544696	-0.86849746	-0.906373599
