# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc6_S21,im:Trc6_S21,re:Trc7_S22,im:Trc7_S22,re:Mem8[Trc1]_S11,im:Mem8[Trc1]_S11,
3.000000000000000E+005,8.715551943740219E-001,3.768174979541902E-003,1.361298302050948E-001,1.188535302152727E-003,1.358800982093764E-001,-1.470127389746935E-003,8.694951922859444E-001,-7.508641495902989E-004,8.715497748298204E-001,3.773755900700402E-003,
8.002002002002002E+005,8.698241390800936E-001,-2.111021246769391E-003,1.319413582350969E-001,-5.088241804947311E-003,1.316386995941353E-001,-5.574213485039503E-003,8.663783887947087E-001,-2.677501571893894E-003,8.698329430353143E-001,-2.063330487756847E-003,
1.300400400400400E+006,8.691711068974236E-001,-2.867870836724898E-003,1.313955519857594E-001,-6.781639339823030E-003,1.311938132762368E-001,-7.239437335360551E-003,8.664340000409110E-001,-2.028813403199521E-003,8.692044798383630E-001,-2.812487934583691E-003,
1.800600600600601E+006,8.688147968451168E-001,-3.628535625126069E-003,1.313463436334194E-001,-9.007149400374684E-003,1.311069510258638E-001,-9.494837106774713E-003,8.671323681776764E-001,-2.341391691162022E-003,8.688478284793497E-001,-3.571708324560583E-003,
2.300800800800801E+006,8.682782415298579E-001,-4.493372553592051E-003,1.311655808675350E-001,-1.145064194661147E-002,1.308646435752576E-001,-1.193531585141600E-002,8.673546826397662E-001,-3.127974125220424E-003,8.683390969149692E-001,-4.421479661607195E-003,
2.801001001001001E+006,8.682102113961157E-001,-5.080421135497329E-003,1.310272950269582E-001,-1.398911766196048E-002,1.307004885827491E-001,-1.437054883087884E-002,8.681691928784188E-001,-4.339262338940449E-003,8.682864092503630E-001,-5.001908340302347E-003,
3.301201201201201E+006,8.682740193598368E-001,-5.654099445039505E-003,1.307141403108746E-001,-1.656555966774810E-002,1.303925798233047E-001,-1.694395140712538E-002,8.685962934480671E-001,-5.568868057418352E-003,8.683868706298434E-001,-5.544008573685971E-003,
3.801401401401402E+006,8.686481574491218E-001,-6.541481633108578E-003,1.302739777743647E-001,-1.917892521427878E-002,1.298536807764643E-001,-1.952303305537281E-002,8.689422614700543E-001,-6.891238668526584E-003,8.688466169973073E-001,-6.418564818559961E-003,
4.301601601601602E+006,8.689854202888556E-001,-7.937146040805747E-003,1.295949607001678E-001,-2.157973351528581E-002,1.291992443343910E-001,-2.186390019799911E-002,8.691868806641208E-001,-8.385875658231096E-003,8.692976566692857E-001,-7.898078875216505E-003,
4.801801801801802E+006,8.688743492123993E-001,-9.522112346636013E-003,1.291567140676598E-001,-2.371782690892063E-002,1.287585859455978E-001,-2.401352261287274E-002,8.691625996361549E-001,-1.012933888013150E-002,8.691646906897734E-001,-9.633820889011597E-003,
